Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
Azerbaijan,2023,ALB,Williams,2.0,109.728,39.708,44.518,25.502,MEDIUM,2.0,180.0,199.0,323.0,322.0,44.978,
Azerbaijan,2023,ALB,Williams,3.0,108.815,38.989,44.312,25.514,MEDIUM,3.0,183.0,203.0,327.0,323.0,44.697,
Azerbaijan,2023,ALB,Williams,4.0,109.004,38.971,44.488,25.545,MEDIUM,4.0,195.0,196.0,324.0,321.0,44.528,0.4819
Azerbaijan,2023,ALB,Williams,5.0,108.689,38.918,44.22,25.551,MEDIUM,5.0,184.0,200.0,327.0,321.0,44.797,0.4644
Azerbaijan,2023,ALB,Williams,6.0,108.53,38.73,44.221,25.579,MEDIUM,6.0,178.0,208.0,326.0,322.0,44.72,0.4666
Azerbaijan,2023,ALB,Williams,9.0,107.968,38.545,43.782,25.641,HARD,2.0,189.0,201.0,327.0,320.0,44.194,0.3942
Azerbaijan,2023,ALB,Williams,14.0,112.578,41.797,45.52,25.261,HARD,7.0,165.0,193.0,332.0,326.0,45.391,1.8411
Azerbaijan,2023,ALB,Williams,15.0,108.928,39.36,44.206,25.362,HARD,8.0,179.0,195.0,327.0,325.0,45.077,1.845
Azerbaijan,2023,ALB,Williams,16.0,108.111,38.585,44.348,25.178,HARD,9.0,184.0,202.0,348.0,325.0,44.737,1.9128
Azerbaijan,2023,ALB,Williams,17.0,107.727,38.504,44.088,25.135,HARD,10.0,173.0,203.0,347.0,325.0,44.759,2.0164
Azerbaijan,2023,ALB,Williams,18.0,107.982,38.549,44.18,25.253,HARD,11.0,187.0,192.0,335.0,325.0,45.015,2.0145
Azerbaijan,2023,ALB,Williams,19.0,107.776,38.388,44.061,25.327,HARD,12.0,180.0,197.0,331.0,325.0,44.728,0.4857
Azerbaijan,2023,ALB,Williams,20.0,107.693,38.336,43.997,25.36,HARD,13.0,194.0,207.0,333.0,326.0,44.061,0.1806
Azerbaijan,2023,ALB,Williams,21.0,108.151,38.499,44.269,25.383,HARD,14.0,185.0,195.0,330.0,325.0,44.795,0.195
Azerbaijan,2023,ALB,Williams,22.0,107.986,38.521,44.08,25.385,HARD,15.0,183.0,204.0,328.0,325.0,44.894,0.1829
Azerbaijan,2023,ALB,Williams,23.0,107.949,38.562,44.079,25.308,HARD,16.0,184.0,194.0,332.0,326.0,44.453,0.1806
Azerbaijan,2023,ALB,Williams,24.0,108.076,38.437,44.234,25.405,HARD,17.0,188.0,194.0,332.0,324.0,44.802,0.1742
Azerbaijan,2023,ALB,Williams,25.0,108.114,38.642,44.099,25.373,HARD,18.0,193.0,197.0,332.0,325.0,44.867,0.0853
Azerbaijan,2023,ALB,Williams,26.0,107.911,38.416,44.135,25.36,HARD,19.0,187.0,196.0,332.0,325.0,44.932,0.0855
Azerbaijan,2023,ALB,Williams,27.0,107.77,38.402,44.005,25.363,HARD,20.0,191.0,200.0,329.0,325.0,44.945,0.1376
Azerbaijan,2023,ALB,Williams,28.0,108.057,38.562,44.14,25.355,HARD,21.0,185.0,201.0,327.0,324.0,44.643,0.143
Azerbaijan,2023,ALB,Williams,29.0,107.858,38.608,43.904,25.346,HARD,22.0,192.0,200.0,326.0,325.0,44.719,0.1418
Azerbaijan,2023,ALB,Williams,30.0,107.38,38.328,43.864,25.188,HARD,23.0,182.0,203.0,344.0,326.0,44.841,0.2544
Azerbaijan,2023,ALB,Williams,31.0,107.37,38.37,43.692,25.308,HARD,24.0,190.0,198.0,320.0,326.0,44.824,0.3032
Azerbaijan,2023,ALB,Williams,32.0,107.64,38.553,43.728,25.359,HARD,25.0,194.0,203.0,329.0,324.0,44.226,0.2999
Azerbaijan,2023,ALB,Williams,33.0,107.284,38.262,43.731,25.291,HARD,26.0,186.0,209.0,330.0,324.0,44.689,0.2374
Azerbaijan,2023,ALB,Williams,34.0,107.486,38.339,43.918,25.229,HARD,27.0,182.0,206.0,328.0,324.0,44.49,0.1366
Azerbaijan,2023,ALB,Williams,35.0,107.277,38.342,43.652,25.283,HARD,28.0,190.0,203.0,331.0,325.0,44.056,0.1532
Azerbaijan,2023,ALB,Williams,36.0,107.763,38.624,43.828,25.311,HARD,29.0,192.0,201.0,329.0,323.0,45.14,0.215
Azerbaijan,2023,ALB,Williams,37.0,107.27,38.135,43.74,25.395,HARD,30.0,187.0,208.0,327.0,322.0,43.684,0.2141
Azerbaijan,2023,ALB,Williams,38.0,107.155,38.012,43.709,25.434,HARD,31.0,199.0,205.0,329.0,321.0,44.791,0.2402
Azerbaijan,2023,ALB,Williams,39.0,106.972,38.188,43.426,25.358,HARD,32.0,195.0,203.0,328.0,323.0,44.586,0.2931
Azerbaijan,2023,ALB,Williams,40.0,107.049,37.994,43.691,25.364,HARD,33.0,197.0,201.0,327.0,323.0,44.445,0.3122
Azerbaijan,2023,ALB,Williams,41.0,106.853,37.989,43.582,25.282,HARD,34.0,202.0,201.0,328.0,323.0,44.651,0.1611
Azerbaijan,2023,ALB,Williams,42.0,106.845,38.017,43.53,25.298,HARD,35.0,199.0,205.0,327.0,323.0,44.63,0.132
Azerbaijan,2023,ALB,Williams,43.0,106.607,37.882,43.433,25.292,HARD,36.0,193.0,204.0,328.0,324.0,44.959,0.1676
Azerbaijan,2023,ALB,Williams,44.0,106.833,38.082,43.456,25.295,HARD,37.0,196.0,194.0,328.0,324.0,44.453,0.1567
Azerbaijan,2023,ALB,Williams,45.0,106.859,37.986,43.603,25.27,HARD,38.0,193.0,208.0,328.0,324.0,44.599,0.108
Azerbaijan,2023,ALB,Williams,46.0,106.614,37.911,43.522,25.181,HARD,39.0,188.0,205.0,332.0,327.0,44.183,0.1292
Azerbaijan,2023,ALB,Williams,47.0,106.621,37.959,43.668,24.994,HARD,40.0,197.0,203.0,347.0,328.0,44.886,0.1275
Azerbaijan,2023,ALB,Williams,48.0,108.271,39.041,44.206,25.024,HARD,41.0,176.0,196.0,343.0,335.0,44.216,0.6979
Azerbaijan,2023,ALB,Williams,49.0,106.343,37.779,43.292,25.272,HARD,42.0,200.0,202.0,329.0,323.0,44.679,0.7653
Azerbaijan,2023,ALB,Williams,50.0,106.29,37.772,43.301,25.217,HARD,43.0,195.0,202.0,330.0,325.0,44.79,0.8209
Azerbaijan,2023,ALB,Williams,51.0,105.925,37.549,43.149,25.227,HARD,44.0,202.0,204.0,329.0,325.0,44.314,0.9179
Azerbaijan,2023,ALO,Aston Martin,2.0,108.064,38.837,43.841,25.386,MEDIUM,2.0,187.0,202.0,322.0,323.0,43.313,
Azerbaijan,2023,ALO,Aston Martin,3.0,107.782,38.471,43.847,25.464,MEDIUM,3.0,197.0,202.0,333.0,322.0,43.435,
Azerbaijan,2023,ALO,Aston Martin,4.0,107.912,38.499,44.046,25.367,MEDIUM,4.0,191.0,206.0,334.0,321.0,43.226,0.1411
Azerbaijan,2023,ALO,Aston Martin,5.0,107.899,38.434,44.003,25.462,MEDIUM,5.0,188.0,204.0,332.0,322.0,43.135,0.1157
Azerbaijan,2023,ALO,Aston Martin,6.0,108.367,38.499,44.369,25.499,MEDIUM,6.0,193.0,203.0,332.0,320.0,43.267,0.2259
Azerbaijan,2023,ALO,Aston Martin,7.0,107.955,38.502,43.959,25.494,MEDIUM,7.0,199.0,211.0,325.0,320.0,42.149,0.224
Azerbaijan,2023,ALO,Aston Martin,8.0,107.062,38.235,43.475,25.352,MEDIUM,8.0,206.0,209.0,340.0,322.0,42.216,0.4756
Azerbaijan,2023,ALO,Aston Martin,9.0,108.83,39.229,44.165,25.436,MEDIUM,9.0,192.0,210.0,336.0,324.0,42.796,0.6544
Azerbaijan,2023,ALO,Aston Martin,10.0,107.416,38.237,43.618,25.561,MEDIUM,10.0,206.0,206.0,325.0,320.0,42.817,0.7105
Azerbaijan,2023,ALO,Aston Martin,14.0,108.907,39.865,43.555,25.487,HARD,3.0,201.0,213.0,326.0,318.0,43.475,0.8259
Azerbaijan,2023,ALO,Aston Martin,15.0,106.929,38.233,43.387,25.309,HARD,4.0,196.0,213.0,325.0,322.0,42.097,0.966
Azerbaijan,2023,ALO,Aston Martin,16.0,106.404,37.893,43.084,25.427,HARD,5.0,204.0,218.0,329.0,321.0,42.326,1.1279
Azerbaijan,2023,ALO,Aston Martin,17.0,106.869,37.768,43.643,25.458,HARD,6.0,200.0,207.0,328.0,322.0,42.445,0.9646
Azerbaijan,2023,ALO,Aston Martin,18.0,107.199,38.018,43.807,25.374,HARD,7.0,206.0,209.0,325.0,322.0,43.229,0.9633
Azerbaijan,2023,ALO,Aston Martin,19.0,106.856,37.884,43.525,25.447,HARD,8.0,203.0,211.0,326.0,321.0,43.186,0.2861
Azerbaijan,2023,ALO,Aston Martin,20.0,107.025,38.017,43.552,25.456,HARD,9.0,211.0,210.0,326.0,322.0,42.699,0.2956
Azerbaijan,2023,ALO,Aston Martin,21.0,106.86,38.007,43.436,25.417,HARD,10.0,202.0,211.0,326.0,322.0,42.659,0.1504
Azerbaijan,2023,ALO,Aston Martin,22.0,106.229,37.696,43.15,25.383,HARD,11.0,205.0,216.0,324.0,322.0,42.452,0.3664
Azerbaijan,2023,ALO,Aston Martin,23.0,106.646,37.771,43.42,25.455,HARD,12.0,204.0,217.0,327.0,321.0,42.876,0.3073
Azerbaijan,2023,ALO,Aston Martin,24.0,106.162,37.553,43.259,25.35,HARD,13.0,207.0,219.0,327.0,322.0,42.642,0.3803
Azerbaijan,2023,ALO,Aston Martin,25.0,106.62,37.782,43.454,25.384,HARD,14.0,205.0,220.0,326.0,322.0,42.751,0.297
Azerbaijan,2023,ALO,Aston Martin,26.0,106.381,37.828,43.136,25.417,HARD,15.0,206.0,215.0,325.0,321.0,42.555,0.2207
Azerbaijan,2023,ALO,Aston Martin,27.0,106.064,37.533,43.084,25.447,HARD,16.0,213.0,211.0,326.0,321.0,42.559,0.2625
Azerbaijan,2023,ALO,Aston Martin,28.0,106.091,37.494,43.207,25.39,HARD,17.0,214.0,214.0,326.0,321.0,42.46,0.2349
Azerbaijan,2023,ALO,Aston Martin,29.0,105.847,37.396,43.038,25.413,HARD,18.0,208.0,214.0,325.0,322.0,42.543,0.3017
Azerbaijan,2023,ALO,Aston Martin,30.0,105.691,37.445,42.884,25.362,HARD,19.0,211.0,212.0,326.0,322.0,42.635,0.2624
Azerbaijan,2023,ALO,Aston Martin,31.0,105.781,37.462,43.003,25.316,HARD,20.0,208.0,220.0,328.0,323.0,42.721,0.176
Azerbaijan,2023,ALO,Aston Martin,32.0,106.194,37.45,43.342,25.402,HARD,21.0,203.0,214.0,324.0,321.0,42.542,0.213
Azerbaijan,2023,ALO,Aston Martin,33.0,106.35,37.622,43.258,25.47,HARD,22.0,209.0,222.0,326.0,321.0,41.786,0.2843
Azerbaijan,2023,ALO,Aston Martin,34.0,106.152,37.624,43.17,25.358,HARD,23.0,206.0,219.0,325.0,321.0,42.609,0.2833
Azerbaijan,2023,ALO,Aston Martin,35.0,105.816,37.438,43.047,25.331,HARD,24.0,207.0,217.0,327.0,321.0,42.771,0.2489
Azerbaijan,2023,ALO,Aston Martin,36.0,106.079,37.584,43.199,25.296,HARD,25.0,207.0,220.0,326.0,322.0,42.74,0.1959
Azerbaijan,2023,ALO,Aston Martin,37.0,105.344,37.171,42.885,25.288,HARD,26.0,213.0,218.0,328.0,322.0,41.927,0.3881
