Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
Azerbaijan,2023,VER,Red Bull Racing,1.0,110.456,,43.217,25.646,MEDIUM,1.0,1.0,,,2.0,12,False,True,108.4,3.252,200.0,215.0,317.0,320.0
Azerbaijan,2023,VER,Red Bull Racing,2.0,107.707,38.431,43.642,25.634,MEDIUM,2.0,1.0,,,2.0,1,True,True,106.8,3.204,194.0,212.0,318.0,322.0
Azerbaijan,2023,VER,Red Bull Racing,3.0,107.677,38.493,43.718,25.466,MEDIUM,3.0,1.0,,,1.0,1,True,True,105.2,3.156,196.0,203.0,342.0,322.0
Azerbaijan,2023,VER,Red Bull Racing,4.0,107.108,37.933,43.372,25.803,MEDIUM,4.0,1.0,,,1.0,1,True,True,103.6,3.108,197.0,209.0,311.0,316.0
Azerbaijan,2023,VER,Red Bull Racing,5.0,107.476,38.284,43.414,25.778,MEDIUM,5.0,1.0,,,1.0,1,True,True,102.0,3.06,203.0,203.0,311.0,316.0
Azerbaijan,2023,VER,Red Bull Racing,6.0,107.202,38.262,43.24,25.7,MEDIUM,6.0,1.0,,,1.0,1,True,True,100.4,3.012,201.0,209.0,313.0,317.0
Azerbaijan,2023,VER,Red Bull Racing,7.0,106.995,38.268,43.032,25.695,MEDIUM,7.0,1.0,,,1.0,1,True,True,98.8,2.964,206.0,212.0,314.0,317.0
Azerbaijan,2023,VER,Red Bull Racing,8.0,106.801,38.038,43.034,25.729,MEDIUM,8.0,1.0,,,1.0,1,True,True,97.2,2.916,206.0,217.0,314.0,316.0
Azerbaijan,2023,VER,Red Bull Racing,9.0,106.944,37.979,43.119,25.846,MEDIUM,9.0,1.0,,,1.0,1,True,True,95.6,2.868,206.0,220.0,314.0,317.0
Azerbaijan,2023,VER,Red Bull Racing,10.0,110.778,37.936,43.428,29.414,MEDIUM,10.0,1.0,4859.833,,3.0,12,False,True,94.0,2.82,211.0,216.0,,317.0
Azerbaijan,2023,VER,Red Bull Racing,11.0,,66.403,58.029,38.926,HARD,1.0,2.0,,4880.582,7.0,24,False,True,92.4,2.772,140.0,139.0,210.0,203.0
Azerbaijan,2023,VER,Red Bull Racing,12.0,,53.777,62.06,38.416,HARD,2.0,2.0,,,3.0,4,False,True,90.8,2.724,119.0,184.0,213.0,263.0
Azerbaijan,2023,VER,Red Bull Racing,13.0,,56.452,65.618,42.153,HARD,3.0,2.0,,,3.0,41,False,True,89.2,2.676,74.0,53.0,291.0,169.0
Azerbaijan,2023,VER,Red Bull Racing,14.0,106.936,38.813,42.577,25.546,HARD,4.0,2.0,,,2.0,1,True,True,87.6,2.628,200.0,215.0,314.0,319.0
Azerbaijan,2023,VER,Red Bull Racing,15.0,105.687,37.68,42.565,25.442,HARD,5.0,2.0,,,2.0,1,True,True,86.0,2.58,199.0,218.0,318.0,321.0
Azerbaijan,2023,VER,Red Bull Racing,16.0,105.497,37.64,42.482,25.375,HARD,6.0,2.0,,,2.0,1,True,True,84.4,2.532,208.0,223.0,318.0,322.0
Azerbaijan,2023,VER,Red Bull Racing,17.0,105.498,37.613,42.512,25.373,HARD,7.0,2.0,,,2.0,12,True,True,82.8,2.484,205.0,218.0,319.0,321.0
Azerbaijan,2023,VER,Red Bull Racing,18.0,105.425,37.403,42.605,25.417,HARD,8.0,2.0,,,2.0,1,True,True,81.2,2.436,204.0,223.0,324.0,321.0
Azerbaijan,2023,VER,Red Bull Racing,19.0,105.66,37.513,42.638,25.509,HARD,9.0,2.0,,,2.0,1,True,True,79.6,2.388,204.0,216.0,317.0,322.0
Azerbaijan,2023,VER,Red Bull Racing,20.0,105.446,37.256,42.789,25.401,HARD,10.0,2.0,,,2.0,1,True,True,78.0,2.34,203.0,213.0,320.0,323.0
Azerbaijan,2023,VER,Red Bull Racing,21.0,105.793,37.631,42.759,25.403,HARD,11.0,2.0,,,2.0,1,True,True,76.4,2.292,204.0,218.0,319.0,323.0
Azerbaijan,2023,VER,Red Bull Racing,22.0,105.67,37.564,42.666,25.44,HARD,12.0,2.0,,,2.0,1,True,True,74.8,2.244,203.0,221.0,319.0,323.0
Azerbaijan,2023,VER,Red Bull Racing,23.0,105.902,37.754,42.708,25.44,HARD,13.0,2.0,,,2.0,1,True,True,73.2,2.196,205.0,221.0,319.0,322.0
Azerbaijan,2023,VER,Red Bull Racing,24.0,105.738,37.626,42.742,25.37,HARD,14.0,2.0,,,2.0,1,True,True,71.6,2.148,209.0,217.0,319.0,322.0
Azerbaijan,2023,VER,Red Bull Racing,25.0,105.657,37.575,42.763,25.319,HARD,15.0,2.0,,,2.0,1,True,True,70.0,2.1,207.0,217.0,319.0,322.0
Azerbaijan,2023,VER,Red Bull Racing,26.0,105.855,37.711,42.747,25.397,HARD,16.0,2.0,,,2.0,1,True,True,68.4,2.052,206.0,217.0,319.0,322.0
Azerbaijan,2023,VER,Red Bull Racing,27.0,105.625,37.442,42.683,25.5,HARD,17.0,2.0,,,2.0,1,True,True,66.8,2.004,205.0,224.0,317.0,321.0
Azerbaijan,2023,VER,Red Bull Racing,28.0,105.694,37.53,42.713,25.451,HARD,18.0,2.0,,,2.0,1,True,True,65.2,1.956,202.0,222.0,317.0,322.0
Azerbaijan,2023,VER,Red Bull Racing,29.0,106.365,38.141,42.744,25.48,HARD,19.0,2.0,,,2.0,1,True,True,63.6,1.908,210.0,220.0,316.0,321.0
Azerbaijan,2023,VER,Red Bull Racing,30.0,105.575,37.441,42.741,25.393,HARD,20.0,2.0,,,2.0,1,True,True,62.0,1.86,213.0,219.0,317.0,321.0
Azerbaijan,2023,VER,Red Bull Racing,31.0,105.348,37.375,42.564,25.409,HARD,21.0,2.0,,,2.0,1,True,True,60.4,1.812,210.0,218.0,317.0,322.0
