Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Race,Season
0 days 00:00:10.108000,23.9,52.0,1009.5,False,42.5,15,1.6,Azerbaijan,2023
0 days 00:01:10.107000,23.9,53.0,1009.5,False,42.5,50,1.0,Azerbaijan,2023
0 days 00:02:10.106000,24.0,52.0,1009.5,False,42.5,59,1.0,Azerbaijan,2023
0 days 00:03:10.120000,23.9,51.0,1009.5,False,42.5,54,0.6,Azerbaijan,2023
0 days 00:04:10.135000,24.0,50.0,1009.4,False,42.7,30,1.5,Azerbaijan,2023
0 days 00:05:10.134000,24.0,50.0,1009.5,False,42.6,0,1.1,Azerbaijan,2023
0 days 00:06:10.133000,24.1,50.0,1009.5,False,42.6,255,0.6,Azerbaijan,2023
0 days 00:07:10.131000,24.1,51.0,1009.5,False,42.6,187,0.8,Azerbaijan,2023
0 days 00:08:10.130000,24.0,50.0,1009.5,False,42.9,162,1.7,Azerbaijan,2023
0 days 00:09:10.145000,24.0,50.0,1009.5,False,42.9,162,1.7,Azerbaijan,2023
0 days 00:10:10.128000,24.2,50.0,1009.4,False,43.3,115,1.1,Azerbaijan,2023
0 days 00:11:10.174000,24.3,50.0,1009.4,False,43.7,41,0.8,Azerbaijan,2023
0 days 00:12:10.157000,24.3,50.0,1009.4,False,43.7,41,0.8,Azerbaijan,2023
0 days 00:13:10.172000,24.3,50.0,1009.2,False,43.7,93,1.0,Azerbaijan,2023
0 days 00:14:10.186000,24.4,50.0,1009.4,False,44.0,197,1.7,Azerbaijan,2023
0 days 00:15:10.185000,24.5,49.0,1009.4,False,43.6,186,1.8,Azerbaijan,2023
0 days 00:16:10.184000,24.5,49.0,1009.4,False,43.5,112,1.7,Azerbaijan,2023
0 days 00:17:10.183000,24.6,51.0,1009.2,False,43.2,178,0.6,Azerbaijan,2023
0 days 00:18:10.182000,24.5,51.0,1009.2,False,43.2,353,0.8,Azerbaijan,2023
0 days 00:19:10.197000,24.3,50.0,1009.2,False,43.8,4,1.5,Azerbaijan,2023
0 days 00:20:10.195000,24.2,51.0,1009.2,False,44.0,41,1.2,Azerbaijan,2023
0 days 00:21:10.194000,24.3,50.0,1009.2,False,43.2,0,0.8,Azerbaijan,2023
0 days 00:22:10.209000,24.4,48.0,1009.2,False,44.2,62,1.1,Azerbaijan,2023
0 days 00:23:10.208000,24.4,48.0,1009.2,False,44.2,28,1.2,Azerbaijan,2023
0 days 00:24:10.222000,24.4,49.0,1009.4,False,43.7,49,1.1,Azerbaijan,2023
0 days 00:25:10.221000,24.4,50.0,1009.2,False,41.3,42,1.0,Azerbaijan,2023
0 days 00:26:10.220000,24.5,50.0,1009.2,False,41.8,149,0.8,Azerbaijan,2023
0 days 00:27:10.219000,24.5,49.0,1009.2,False,43.5,213,1.2,Azerbaijan,2023
0 days 00:28:10.218000,24.5,49.0,1009.2,False,43.8,195,1.1,Azerbaijan,2023
0 days 00:29:10.217000,24.5,50.0,1009.0,False,43.2,324,1.1,Azerbaijan,2023
0 days 00:30:10.231000,24.5,50.0,1009.2,False,42.7,33,1.2,Azerbaijan,2023
