Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
Bahrain,2023,ALB,Williams,2.0,100.43,31.765,43.909,24.756,SOFT,2.0,228.0,245.0,285.0,306.0,43.434,
Bahrain,2023,ALB,Williams,3.0,100.143,31.66,43.782,24.701,SOFT,3.0,225.0,247.0,290.0,308.0,43.436,
Bahrain,2023,ALB,Williams,4.0,99.761,31.226,43.808,24.727,SOFT,4.0,229.0,247.0,288.0,324.0,43.305,0.3356
Bahrain,2023,ALB,Williams,5.0,100.606,31.48,44.21,24.916,SOFT,5.0,229.0,241.0,284.0,321.0,42.862,0.3691
Bahrain,2023,ALB,Williams,6.0,100.744,31.764,44.077,24.903,SOFT,6.0,227.0,242.0,283.0,312.0,42.623,0.3925
Bahrain,2023,ALB,Williams,7.0,100.646,31.833,44.04,24.773,SOFT,7.0,227.0,243.0,283.0,310.0,43.205,0.4164
Bahrain,2023,ALB,Williams,8.0,100.918,31.83,44.297,24.791,SOFT,8.0,228.0,239.0,283.0,312.0,42.965,0.4491
Bahrain,2023,ALB,Williams,9.0,100.969,31.837,44.298,24.834,SOFT,9.0,230.0,241.0,283.0,310.0,43.092,0.1614
Bahrain,2023,ALB,Williams,10.0,101.119,31.855,44.432,24.832,SOFT,10.0,228.0,247.0,284.0,313.0,43.111,0.1869
Bahrain,2023,ALB,Williams,13.0,98.649,31.512,42.949,24.188,SOFT,2.0,234.0,237.0,285.0,312.0,43.122,1.0268
Bahrain,2023,ALB,Williams,14.0,98.472,31.104,43.144,24.224,SOFT,3.0,230.0,248.0,285.0,314.0,43.379,1.3408
Bahrain,2023,ALB,Williams,15.0,99.158,31.3,43.386,24.472,SOFT,4.0,227.0,242.0,285.0,315.0,43.313,1.2774
Bahrain,2023,ALB,Williams,16.0,99.253,31.205,43.747,24.301,SOFT,5.0,230.0,233.0,286.0,314.0,42.948,1.0531
Bahrain,2023,ALB,Williams,17.0,99.094,31.288,43.482,24.324,SOFT,6.0,231.0,234.0,285.0,306.0,43.263,0.3434
Bahrain,2023,ALB,Williams,18.0,99.049,31.24,43.43,24.379,SOFT,7.0,231.0,236.0,285.0,315.0,43.221,0.3078
Bahrain,2023,ALB,Williams,19.0,99.272,31.412,43.511,24.349,SOFT,8.0,230.0,241.0,285.0,304.0,42.53,0.0971
Bahrain,2023,ALB,Williams,20.0,99.299,31.372,43.498,24.429,SOFT,9.0,230.0,240.0,285.0,314.0,42.904,0.1136
Bahrain,2023,ALB,Williams,21.0,99.591,31.415,43.682,24.494,SOFT,10.0,230.0,240.0,285.0,311.0,43.116,0.2141
Bahrain,2023,ALB,Williams,22.0,99.588,31.391,43.783,24.414,SOFT,11.0,231.0,242.0,285.0,313.0,43.091,0.231
Bahrain,2023,ALB,Williams,23.0,99.802,31.503,43.786,24.513,SOFT,12.0,232.0,239.0,285.0,312.0,42.576,0.2231
Bahrain,2023,ALB,Williams,24.0,99.89,31.616,43.801,24.473,SOFT,13.0,230.0,241.0,284.0,311.0,42.904,0.2291
Bahrain,2023,ALB,Williams,25.0,99.832,31.547,43.808,24.477,SOFT,14.0,231.0,244.0,284.0,312.0,42.539,0.1415
Bahrain,2023,ALB,Williams,28.0,97.503,30.968,42.567,23.968,HARD,2.0,235.0,242.0,286.0,312.0,42.945,1.0238
Bahrain,2023,ALB,Williams,29.0,98.127,31.1,43.034,23.993,HARD,3.0,230.0,243.0,286.0,312.0,43.038,1.132
Bahrain,2023,ALB,Williams,30.0,97.931,31.11,42.857,23.964,HARD,4.0,234.0,249.0,287.0,311.0,43.405,1.1226
Bahrain,2023,ALB,Williams,31.0,98.104,31.211,42.963,23.93,HARD,5.0,233.0,250.0,287.0,314.0,43.271,0.8926
Bahrain,2023,ALB,Williams,32.0,97.919,31.133,42.843,23.943,HARD,6.0,233.0,252.0,286.0,313.0,42.973,0.2503
Bahrain,2023,ALB,Williams,33.0,98.104,31.165,42.921,24.018,HARD,7.0,235.0,250.0,286.0,313.0,43.229,0.1028
Bahrain,2023,ALB,Williams,34.0,97.961,31.19,42.832,23.939,HARD,8.0,235.0,256.0,286.0,313.0,43.011,0.0927
Bahrain,2023,ALB,Williams,35.0,97.984,31.113,42.921,23.95,HARD,9.0,235.0,255.0,286.0,313.0,43.209,0.085
Bahrain,2023,ALB,Williams,36.0,98.176,31.233,42.956,23.987,HARD,10.0,234.0,255.0,286.0,313.0,42.771,0.1072
Bahrain,2023,ALB,Williams,37.0,98.038,31.265,42.801,23.972,HARD,11.0,233.0,256.0,286.0,312.0,42.52,0.0883
Bahrain,2023,ALB,Williams,38.0,98.33,31.372,42.907,24.051,HARD,12.0,234.0,254.0,286.0,313.0,42.577,0.1543
Bahrain,2023,ALB,Williams,39.0,98.346,31.401,42.884,24.061,HARD,13.0,235.0,258.0,285.0,312.0,43.369,0.1647
Bahrain,2023,ALB,Williams,42.0,97.211,31.062,42.485,23.664,SOFT,2.0,240.0,254.0,287.0,309.0,43.223,0.4694
Bahrain,2023,ALB,Williams,43.0,97.144,30.767,42.589,23.788,SOFT,3.0,235.0,251.0,287.0,313.0,42.848,0.5941
Bahrain,2023,ALB,Williams,44.0,97.327,30.953,42.567,23.807,SOFT,4.0,236.0,247.0,287.0,312.0,42.861,0.6119
Bahrain,2023,ALB,Williams,45.0,97.503,31.121,42.624,23.758,SOFT,5.0,232.0,250.0,287.0,306.0,42.562,0.4888
Bahrain,2023,ALB,Williams,46.0,97.577,31.025,42.764,23.788,SOFT,6.0,234.0,243.0,287.0,311.0,42.657,0.1852
Bahrain,2023,ALB,Williams,47.0,97.545,31.048,42.675,23.822,SOFT,7.0,235.0,243.0,287.0,312.0,42.803,0.1816
Bahrain,2023,ALB,Williams,48.0,97.684,31.112,42.713,23.859,SOFT,8.0,235.0,243.0,287.0,311.0,42.308,0.1304
Bahrain,2023,ALB,Williams,49.0,97.609,31.051,42.726,23.832,SOFT,9.0,236.0,251.0,286.0,312.0,42.578,0.0685
Bahrain,2023,ALB,Williams,50.0,97.695,31.087,42.703,23.905,SOFT,10.0,236.0,247.0,287.0,311.0,42.553,0.0658
Bahrain,2023,ALB,Williams,51.0,97.727,31.157,42.662,23.908,SOFT,11.0,235.0,248.0,287.0,312.0,42.809,0.0738
Bahrain,2023,ALB,Williams,52.0,97.861,31.11,42.907,23.844,SOFT,12.0,236.0,249.0,287.0,312.0,42.651,0.0923
Bahrain,2023,ALB,Williams,53.0,97.778,31.109,42.799,23.87,SOFT,13.0,237.0,255.0,287.0,311.0,43.323,0.0939
Bahrain,2023,ALB,Williams,54.0,97.78,31.074,42.796,23.91,SOFT,14.0,236.0,256.0,286.0,312.0,42.777,0.0631
Bahrain,2023,ALB,Williams,55.0,97.803,31.113,42.777,23.913,SOFT,15.0,237.0,256.0,286.0,312.0,42.771,0.0485
Bahrain,2023,ALB,Williams,56.0,98.159,31.157,42.905,24.097,SOFT,16.0,238.0,252.0,288.0,312.0,42.919,0.1616
Bahrain,2023,ALB,Williams,57.0,98.137,31.128,42.928,24.081,SOFT,17.0,237.0,261.0,288.0,312.0,43.017,0.1981
Bahrain,2023,ALO,Aston Martin,2.0,99.792,31.743,43.626,24.423,SOFT,5.0,231.0,228.0,279.0,300.0,41.342,
Bahrain,2023,ALO,Aston Martin,3.0,99.1,31.541,43.276,24.283,SOFT,6.0,231.0,247.0,279.0,293.0,41.727,
Bahrain,2023,ALO,Aston Martin,4.0,99.548,31.723,43.457,24.368,SOFT,7.0,223.0,242.0,279.0,300.0,41.841,0.351
Bahrain,2023,ALO,Aston Martin,5.0,99.662,31.705,43.553,24.404,SOFT,8.0,225.0,235.0,279.0,301.0,41.848,0.3007
Bahrain,2023,ALO,Aston Martin,6.0,99.674,31.695,43.482,24.497,SOFT,9.0,224.0,240.0,280.0,306.0,41.443,0.2687
Bahrain,2023,ALO,Aston Martin,7.0,99.729,31.675,43.494,24.56,SOFT,10.0,227.0,233.0,280.0,305.0,41.702,0.256
Bahrain,2023,ALO,Aston Martin,8.0,99.959,31.674,43.675,24.61,SOFT,11.0,227.0,238.0,280.0,305.0,41.004,0.1517
Bahrain,2023,ALO,Aston Martin,9.0,100.275,31.774,43.819,24.682,SOFT,12.0,226.0,245.0,284.0,307.0,40.903,0.2612
Bahrain,2023,ALO,Aston Martin,10.0,100.203,31.505,43.905,24.793,SOFT,13.0,225.0,243.0,286.0,321.0,41.627,0.2707
Bahrain,2023,ALO,Aston Martin,11.0,101.147,31.657,44.321,25.169,SOFT,14.0,225.0,242.0,285.0,325.0,40.87,0.5392
Bahrain,2023,ALO,Aston Martin,12.0,100.934,31.789,44.062,25.083,SOFT,15.0,227.0,245.0,286.0,324.0,41.751,0.5095
Bahrain,2023,ALO,Aston Martin,13.0,100.341,31.823,43.946,24.572,SOFT,16.0,226.0,246.0,277.0,325.0,41.253,0.4298
Bahrain,2023,ALO,Aston Martin,16.0,97.542,31.154,42.459,23.929,HARD,2.0,229.0,252.0,287.0,305.0,41.304,1.4476
