Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
Bahrain,2023,VER,Red Bull Racing,1.0,99.019,,42.414,23.842,SOFT,4.0,1.0,,,1.0,12,False,False,108.4,3.252,232.0,231.0,278.0,252.0
Bahrain,2023,VER,Red Bull Racing,2.0,97.974,31.342,42.504,24.128,SOFT,5.0,1.0,,,1.0,12,True,False,106.8,3.204,227.0,238.0,278.0,288.0
Bahrain,2023,VER,Red Bull Racing,3.0,98.006,31.388,42.469,24.149,SOFT,6.0,1.0,,,1.0,1,True,False,105.2,3.156,227.0,238.0,278.0,287.0
Bahrain,2023,VER,Red Bull Racing,4.0,97.976,31.271,42.642,24.063,SOFT,7.0,1.0,,,1.0,1,True,False,103.6,3.108,228.0,238.0,278.0,289.0
Bahrain,2023,VER,Red Bull Racing,5.0,98.035,31.244,42.724,24.067,SOFT,8.0,1.0,,,1.0,1,True,False,102.0,3.06,228.0,239.0,278.0,290.0
Bahrain,2023,VER,Red Bull Racing,6.0,97.986,31.341,42.632,24.013,SOFT,9.0,1.0,,,1.0,1,True,False,100.4,3.012,229.0,239.0,279.0,291.0
Bahrain,2023,VER,Red Bull Racing,7.0,98.021,31.29,42.763,23.968,SOFT,10.0,1.0,,,1.0,1,True,False,98.8,2.964,230.0,239.0,279.0,293.0
Bahrain,2023,VER,Red Bull Racing,8.0,98.154,31.291,42.833,24.03,SOFT,11.0,1.0,,,1.0,1,True,False,97.2,2.916,230.0,240.0,279.0,293.0
Bahrain,2023,VER,Red Bull Racing,9.0,98.278,31.336,42.823,24.119,SOFT,12.0,1.0,,,1.0,1,True,False,95.6,2.868,229.0,242.0,279.0,293.0
Bahrain,2023,VER,Red Bull Racing,10.0,98.369,31.361,42.884,24.124,SOFT,13.0,1.0,,,1.0,1,True,False,94.0,2.82,230.0,242.0,279.0,293.0
Bahrain,2023,VER,Red Bull Racing,11.0,98.483,31.342,42.978,24.163,SOFT,14.0,1.0,,,1.0,1,True,False,92.4,2.772,230.0,239.0,278.0,292.0
Bahrain,2023,VER,Red Bull Racing,12.0,98.591,31.408,42.951,24.232,SOFT,15.0,1.0,,,1.0,1,True,False,90.8,2.724,231.0,241.0,278.0,294.0
Bahrain,2023,VER,Red Bull Racing,13.0,98.482,31.389,42.907,24.186,SOFT,16.0,1.0,,,1.0,1,True,False,89.2,2.676,230.0,241.0,278.0,292.0
Bahrain,2023,VER,Red Bull Racing,14.0,101.295,31.427,42.876,26.992,SOFT,17.0,1.0,5133.83,,1.0,1,False,False,87.6,2.628,229.0,241.0,,292.0
Bahrain,2023,VER,Red Bull Racing,15.0,118.378,51.854,42.629,23.895,SOFT,1.0,2.0,,5158.127,2.0,1,False,False,86.0,2.58,230.0,237.0,279.0,218.0
Bahrain,2023,VER,Red Bull Racing,16.0,97.801,31.209,42.711,23.881,SOFT,2.0,2.0,,,2.0,1,True,False,84.4,2.532,231.0,236.0,280.0,287.0
Bahrain,2023,VER,Red Bull Racing,17.0,97.648,31.17,42.623,23.855,SOFT,3.0,2.0,,,2.0,1,True,False,82.8,2.484,232.0,237.0,280.0,293.0
Bahrain,2023,VER,Red Bull Racing,18.0,97.614,31.211,42.569,23.834,SOFT,4.0,2.0,,,1.0,1,True,False,81.2,2.436,232.0,239.0,280.0,286.0
Bahrain,2023,VER,Red Bull Racing,19.0,97.712,31.243,42.608,23.861,SOFT,5.0,2.0,,,1.0,1,True,False,79.6,2.388,232.0,243.0,280.0,289.0
Bahrain,2023,VER,Red Bull Racing,20.0,97.788,31.186,42.766,23.836,SOFT,6.0,2.0,,,1.0,1,True,False,78.0,2.34,230.0,237.0,280.0,291.0
Bahrain,2023,VER,Red Bull Racing,21.0,97.582,31.168,42.572,23.842,SOFT,7.0,2.0,,,1.0,1,True,False,76.4,2.292,232.0,239.0,280.0,293.0
Bahrain,2023,VER,Red Bull Racing,22.0,97.651,31.224,42.548,23.879,SOFT,8.0,2.0,,,1.0,1,True,False,74.8,2.244,232.0,235.0,281.0,292.0
Bahrain,2023,VER,Red Bull Racing,23.0,97.552,31.153,42.514,23.885,SOFT,9.0,2.0,,,1.0,1,True,False,73.2,2.196,232.0,237.0,281.0,294.0
Bahrain,2023,VER,Red Bull Racing,24.0,97.387,31.145,42.398,23.844,SOFT,10.0,2.0,,,1.0,1,True,False,71.6,2.148,233.0,238.0,280.0,289.0
Bahrain,2023,VER,Red Bull Racing,25.0,97.372,31.145,42.344,23.883,SOFT,11.0,2.0,,,1.0,1,True,False,70.0,2.1,232.0,240.0,281.0,292.0
