Race,Season,Driver,Team,LapNumber,LapTime_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,FuelLoad_kg,FuelCorrection_s,IsAccurate,DegRate_s_lap,TotalLaps,LapsRemaining,SafetyCar,RedFlag,IsPitLap
Bahrain,2023,VER,Red Bull Racing,1.0,99.019,SOFT,4.0,1.0,,,1.0,12,108.4,3.252,False,0.0936,57.0,56.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,2.0,97.974,SOFT,5.0,1.0,,,1.0,12,106.8,3.204,True,0.0936,57.0,55.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,3.0,98.006,SOFT,6.0,1.0,,,1.0,1,105.2,3.156,True,0.0936,57.0,54.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,4.0,97.976,SOFT,7.0,1.0,,,1.0,1,103.6,3.108,True,0.0936,57.0,53.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,5.0,98.035,SOFT,8.0,1.0,,,1.0,1,102.0,3.06,True,0.0936,57.0,52.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,6.0,97.986,SOFT,9.0,1.0,,,1.0,1,100.4,3.012,True,0.0936,57.0,51.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,7.0,98.021,SOFT,10.0,1.0,,,1.0,1,98.8,2.964,True,0.0936,57.0,50.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,8.0,98.154,SOFT,11.0,1.0,,,1.0,1,97.2,2.916,True,0.0936,57.0,49.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,9.0,98.278,SOFT,12.0,1.0,,,1.0,1,95.6,2.868,True,0.0936,57.0,48.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,10.0,98.369,SOFT,13.0,1.0,,,1.0,1,94.0,2.82,True,0.0936,57.0,47.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,11.0,98.483,SOFT,14.0,1.0,,,1.0,1,92.4,2.772,True,0.0936,57.0,46.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,12.0,98.591,SOFT,15.0,1.0,,,1.0,1,90.8,2.724,True,0.0936,57.0,45.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,13.0,98.482,SOFT,16.0,1.0,,,1.0,1,89.2,2.676,True,0.0936,57.0,44.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,14.0,101.295,SOFT,17.0,1.0,5133.83,,1.0,1,87.6,2.628,False,0.0936,57.0,43.0,0,0,1
Bahrain,2023,VER,Red Bull Racing,15.0,118.378,SOFT,1.0,2.0,,5158.127,2.0,1,86.0,2.58,False,-0.1362,57.0,42.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,16.0,97.801,SOFT,2.0,2.0,,,2.0,1,84.4,2.532,True,-0.1362,57.0,41.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,17.0,97.648,SOFT,3.0,2.0,,,2.0,1,82.8,2.484,True,-0.1362,57.0,40.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,18.0,97.614,SOFT,4.0,2.0,,,1.0,1,81.2,2.436,True,-0.1362,57.0,39.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,19.0,97.712,SOFT,5.0,2.0,,,1.0,1,79.6,2.388,True,-0.1362,57.0,38.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,20.0,97.788,SOFT,6.0,2.0,,,1.0,1,78.0,2.34,True,-0.1362,57.0,37.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,21.0,97.582,SOFT,7.0,2.0,,,1.0,1,76.4,2.292,True,-0.1362,57.0,36.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,22.0,97.651,SOFT,8.0,2.0,,,1.0,1,74.8,2.244,True,-0.1362,57.0,35.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,23.0,97.552,SOFT,9.0,2.0,,,1.0,1,73.2,2.196,True,-0.1362,57.0,34.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,24.0,97.387,SOFT,10.0,2.0,,,1.0,1,71.6,2.148,True,-0.1362,57.0,33.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,25.0,97.372,SOFT,11.0,2.0,,,1.0,1,70.0,2.1,True,-0.1362,57.0,32.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,26.0,97.682,SOFT,12.0,2.0,,,1.0,1,68.4,2.052,True,-0.1362,57.0,31.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,27.0,97.379,SOFT,13.0,2.0,,,1.0,1,66.8,2.004,True,-0.1362,57.0,30.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,28.0,97.651,SOFT,14.0,2.0,,,1.0,1,65.2,1.956,True,-0.1362,57.0,29.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,29.0,97.571,SOFT,15.0,2.0,,,1.0,1,63.6,1.908,True,-0.1362,57.0,28.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,30.0,97.549,SOFT,16.0,2.0,,,1.0,1,62.0,1.86,True,-0.1362,57.0,27.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,31.0,97.431,SOFT,17.0,2.0,,,1.0,1,60.4,1.812,True,-0.1362,57.0,26.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,32.0,97.691,SOFT,18.0,2.0,,,1.0,1,58.8,1.764,True,-0.1362,57.0,25.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,33.0,97.686,SOFT,19.0,2.0,,,1.0,1,57.2,1.716,True,-0.1362,57.0,24.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,34.0,97.839,SOFT,20.0,2.0,,,1.0,1,55.6,1.668,True,-0.1362,57.0,23.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,35.0,97.85,SOFT,21.0,2.0,,,1.0,1,54.0,1.62,True,-0.1362,57.0,22.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,36.0,100.964,SOFT,22.0,2.0,7305.619,,1.0,1,52.4,1.572,False,-0.1362,57.0,21.0,0,0,1
Bahrain,2023,VER,Red Bull Racing,37.0,118.49,HARD,1.0,3.0,,7330.556,1.0,1,50.8,1.524,False,-0.5087,57.0,20.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,38.0,96.297,HARD,2.0,3.0,,,1.0,1,49.2,1.476,True,-0.5087,57.0,19.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,39.0,96.446,HARD,3.0,3.0,,,1.0,1,47.6,1.428,True,-0.5087,57.0,18.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,40.0,96.942,HARD,4.0,3.0,,,1.0,1,46.0,1.38,True,-0.5087,57.0,17.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,41.0,120.495,HARD,5.0,3.0,,,1.0,126,44.4,1.332,False,-0.5087,57.0,16.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,42.0,104.824,HARD,6.0,3.0,,,1.0,671,42.8,1.284,False,-0.5087,57.0,15.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,43.0,96.89,HARD,7.0,3.0,,,1.0,1,41.2,1.236,True,-0.5087,57.0,14.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,44.0,96.236,HARD,8.0,3.0,,,1.0,1,39.6,1.188,True,-0.5087,57.0,13.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,45.0,97.015,HARD,9.0,3.0,,,1.0,1,38.0,1.14,True,-0.5087,57.0,12.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,46.0,96.701,HARD,10.0,3.0,,,1.0,1,36.4,1.092,True,-0.5087,57.0,11.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,47.0,97.009,HARD,11.0,3.0,,,1.0,1,34.8,1.044,True,-0.5087,57.0,10.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,48.0,96.918,HARD,12.0,3.0,,,1.0,1,33.2,0.996,True,-0.5087,57.0,9.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,49.0,96.962,HARD,13.0,3.0,,,1.0,1,31.6,0.948,True,-0.5087,57.0,8.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,50.0,97.25,HARD,14.0,3.0,,,1.0,1,30.0,0.9,True,-0.5087,57.0,7.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,51.0,97.427,HARD,15.0,3.0,,,1.0,1,28.4,0.852,True,-0.5087,57.0,6.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,52.0,96.919,HARD,16.0,3.0,,,1.0,1,26.8,0.804,True,-0.5087,57.0,5.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,53.0,96.89,HARD,17.0,3.0,,,1.0,1,25.2,0.756,True,-0.5087,57.0,4.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,54.0,96.678,HARD,18.0,3.0,,,1.0,1,23.6,0.708,True,-0.5087,57.0,3.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,55.0,96.322,HARD,19.0,3.0,,,1.0,1,22.0,0.66,True,-0.5087,57.0,2.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,56.0,97.205,HARD,20.0,3.0,,,1.0,1,20.4,0.612,True,-0.5087,57.0,1.0,0,0,0
Bahrain,2023,VER,Red Bull Racing,57.0,96.373,HARD,21.0,3.0,,,1.0,1,18.8,0.564,True,-0.5087,57.0,0.0,0,0,0
Bahrain,2023,GAS,Alpine,1.0,109.649,SOFT,1.0,1.0,,,19.0,12,108.4,3.252,False,-0.2201,57.0,56.0,0,0,0
Bahrain,2023,GAS,Alpine,2.0,100.438,SOFT,2.0,1.0,,,18.0,21,106.8,3.204,True,-0.2201,57.0,55.0,0,0,0
Bahrain,2023,GAS,Alpine,3.0,100.643,SOFT,3.0,1.0,,,18.0,1,105.2,3.156,True,-0.2201,57.0,54.0,0,0,0
Bahrain,2023,GAS,Alpine,4.0,100.894,SOFT,4.0,1.0,,,18.0,1,103.6,3.108,True,-0.2201,57.0,53.0,0,0,0
Bahrain,2023,GAS,Alpine,5.0,100.818,SOFT,5.0,1.0,,,18.0,1,102.0,3.06,True,-0.2201,57.0,52.0,0,0,0
Bahrain,2023,GAS,Alpine,6.0,101.11,SOFT,6.0,1.0,,,18.0,1,100.4,3.012,True,-0.2201,57.0,51.0,0,0,0
Bahrain,2023,GAS,Alpine,7.0,101.134,SOFT,7.0,1.0,,,18.0,1,98.8,2.964,True,-0.2201,57.0,50.0,0,0,0
Bahrain,2023,GAS,Alpine,8.0,101.173,SOFT,8.0,1.0,,,18.0,1,97.2,2.916,True,-0.2201,57.0,49.0,0,0,0
Bahrain,2023,GAS,Alpine,9.0,104.201,SOFT,9.0,1.0,4675.198,,19.0,1,95.6,2.868,False,-0.2201,57.0,48.0,0,0,1
Bahrain,2023,GAS,Alpine,10.0,121.262,HARD,1.0,2.0,,4701.104,20.0,1,94.0,2.82,False,-0.384,57.0,47.0,0,0,0
Bahrain,2023,GAS,Alpine,11.0,98.762,HARD,2.0,2.0,,,19.0,1,92.4,2.772,True,-0.384,57.0,46.0,0,0,0
Bahrain,2023,GAS,Alpine,12.0,98.928,HARD,3.0,2.0,,,17.0,1,90.8,2.724,True,-0.384,57.0,45.0,0,0,0
Bahrain,2023,GAS,Alpine,13.0,99.349,HARD,4.0,2.0,,,14.0,1,89.2,2.676,True,-0.384,57.0,44.0,0,0,0
Bahrain,2023,GAS,Alpine,14.0,98.859,HARD,5.0,2.0,,,14.0,1,87.6,2.628,True,-0.384,57.0,43.0,0,0,0
Bahrain,2023,GAS,Alpine,15.0,98.985,HARD,6.0,2.0,,,14.0,1,86.0,2.58,True,-0.384,57.0,42.0,0,0,0
Bahrain,2023,GAS,Alpine,16.0,98.945,HARD,7.0,2.0,,,12.0,1,84.4,2.532,True,-0.384,57.0,41.0,0,0,0
Bahrain,2023,GAS,Alpine,17.0,99.011,HARD,8.0,2.0,,,12.0,1,82.8,2.484,True,-0.384,57.0,40.0,0,0,0
Bahrain,2023,GAS,Alpine,18.0,99.029,HARD,9.0,2.0,,,12.0,1,81.2,2.436,True,-0.384,57.0,39.0,0,0,0
Bahrain,2023,GAS,Alpine,19.0,99.066,HARD,10.0,2.0,,,12.0,1,79.6,2.388,True,-0.384,57.0,38.0,0,0,0
Bahrain,2023,GAS,Alpine,20.0,99.017,HARD,11.0,2.0,,,12.0,1,78.0,2.34,True,-0.384,57.0,37.0,0,0,0
Bahrain,2023,GAS,Alpine,21.0,99.327,HARD,12.0,2.0,,,12.0,1,76.4,2.292,True,-0.384,57.0,36.0,0,0,0
Bahrain,2023,GAS,Alpine,22.0,99.485,HARD,13.0,2.0,,,12.0,1,74.8,2.244,True,-0.384,57.0,35.0,0,0,0
Bahrain,2023,GAS,Alpine,23.0,99.263,HARD,14.0,2.0,,,12.0,1,73.2,2.196,True,-0.384,57.0,34.0,0,0,0
Bahrain,2023,GAS,Alpine,24.0,99.761,HARD,15.0,2.0,,,12.0,1,71.6,2.148,True,-0.384,57.0,33.0,0,0,0
Bahrain,2023,GAS,Alpine,25.0,102.288,HARD,16.0,2.0,6286.559,,12.0,1,70.0,2.1,False,-0.384,57.0,32.0,0,0,1
Bahrain,2023,GAS,Alpine,26.0,119.404,HARD,1.0,3.0,,6311.481,17.0,1,68.4,2.052,False,0.1244,57.0,31.0,0,0,0
Bahrain,2023,GAS,Alpine,27.0,98.729,HARD,2.0,3.0,,,15.0,1,66.8,2.004,True,0.1244,57.0,30.0,0,0,0
Bahrain,2023,GAS,Alpine,28.0,97.761,HARD,3.0,3.0,,,14.0,1,65.2,1.956,True,0.1244,57.0,29.0,0,0,0
Bahrain,2023,GAS,Alpine,29.0,98.012,HARD,4.0,3.0,,,14.0,1,63.6,1.908,True,0.1244,57.0,28.0,0,0,0
Bahrain,2023,GAS,Alpine,30.0,97.76,HARD,5.0,3.0,,,13.0,1,62.0,1.86,True,0.1244,57.0,27.0,0,0,0
Bahrain,2023,GAS,Alpine,31.0,97.968,HARD,6.0,3.0,,,12.0,1,60.4,1.812,True,0.1244,57.0,26.0,0,0,0
Bahrain,2023,GAS,Alpine,32.0,98.012,HARD,7.0,3.0,,,12.0,1,58.8,1.764,True,0.1244,57.0,25.0,0,0,0
Bahrain,2023,GAS,Alpine,33.0,97.974,HARD,8.0,3.0,,,11.0,1,57.2,1.716,True,0.1244,57.0,24.0,0,0,0
Bahrain,2023,GAS,Alpine,34.0,98.022,HARD,9.0,3.0,,,11.0,1,55.6,1.668,True,0.1244,57.0,23.0,0,0,0
Bahrain,2023,GAS,Alpine,35.0,98.088,HARD,10.0,3.0,,,11.0,1,54.0,1.62,True,0.1244,57.0,22.0,0,0,0
Bahrain,2023,GAS,Alpine,36.0,98.184,HARD,11.0,3.0,,,11.0,1,52.4,1.572,True,0.1244,57.0,21.0,0,0,0
Bahrain,2023,GAS,Alpine,37.0,98.133,HARD,12.0,3.0,,,11.0,1,50.8,1.524,True,0.1244,57.0,20.0,0,0,0
Bahrain,2023,GAS,Alpine,38.0,98.108,HARD,13.0,3.0,,,11.0,1,49.2,1.476,True,0.1244,57.0,19.0,0,0,0
Bahrain,2023,GAS,Alpine,39.0,98.537,HARD,14.0,3.0,,,11.0,1,47.6,1.428,True,0.1244,57.0,18.0,0,0,0
Bahrain,2023,GAS,Alpine,40.0,109.707,HARD,15.0,3.0,7790.97,,10.0,126,46.0,1.38,False,0.1244,57.0,17.0,0,0,1
Bahrain,2023,GAS,Alpine,41.0,128.544,SOFT,1.0,4.0,,7815.719,10.0,671,44.4,1.332,False,-0.4901,57.0,16.0,0,0,0
Bahrain,2023,GAS,Alpine,42.0,95.068,SOFT,2.0,4.0,,,9.0,1,42.8,1.284,True,-0.4901,57.0,15.0,0,0,0
Bahrain,2023,GAS,Alpine,43.0,95.942,SOFT,3.0,4.0,,,9.0,1,41.2,1.236,True,-0.4901,57.0,14.0,0,0,0
Bahrain,2023,GAS,Alpine,44.0,95.792,SOFT,4.0,4.0,,,9.0,1,39.6,1.188,True,-0.4901,57.0,13.0,0,0,0
Bahrain,2023,GAS,Alpine,45.0,96.186,SOFT,5.0,4.0,,,9.0,1,38.0,1.14,True,-0.4901,57.0,12.0,0,0,0
Bahrain,2023,GAS,Alpine,46.0,96.041,SOFT,6.0,4.0,,,9.0,1,36.4,1.092,True,-0.4901,57.0,11.0,0,0,0
Bahrain,2023,GAS,Alpine,47.0,96.12,SOFT,7.0,4.0,,,9.0,1,34.8,1.044,True,-0.4901,57.0,10.0,0,0,0
Bahrain,2023,GAS,Alpine,48.0,96.368,SOFT,8.0,4.0,,,9.0,1,33.2,0.996,True,-0.4901,57.0,9.0,0,0,0
Bahrain,2023,GAS,Alpine,49.0,96.803,SOFT,9.0,4.0,,,9.0,1,31.6,0.948,True,-0.4901,57.0,8.0,0,0,0
Bahrain,2023,GAS,Alpine,50.0,96.551,SOFT,10.0,4.0,,,9.0,1,30.0,0.9,True,-0.4901,57.0,7.0,0,0,0
Bahrain,2023,GAS,Alpine,51.0,96.635,SOFT,11.0,4.0,,,9.0,1,28.4,0.852,True,-0.4901,57.0,6.0,0,0,0
Bahrain,2023,GAS,Alpine,52.0,96.891,SOFT,12.0,4.0,,,9.0,1,26.8,0.804,True,-0.4901,57.0,5.0,0,0,0
Bahrain,2023,GAS,Alpine,53.0,96.979,SOFT,13.0,4.0,,,9.0,1,25.2,0.756,True,-0.4901,57.0,4.0,0,0,0
Bahrain,2023,GAS,Alpine,54.0,97.222,SOFT,14.0,4.0,,,9.0,1,23.6,0.708,True,-0.4901,57.0,3.0,0,0,0
Bahrain,2023,GAS,Alpine,55.0,97.559,SOFT,15.0,4.0,,,9.0,1,22.0,0.66,True,-0.4901,57.0,2.0,0,0,0
Bahrain,2023,GAS,Alpine,56.0,97.845,SOFT,16.0,4.0,,,9.0,1,20.4,0.612,True,-0.4901,57.0,1.0,0,0,0
Bahrain,2023,GAS,Alpine,57.0,98.147,SOFT,17.0,4.0,,,9.0,1,18.8,0.564,True,-0.4901,57.0,0.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,1.0,101.063,SOFT,4.0,1.0,,,3.0,12,108.4,3.252,False,0.071,57.0,56.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,2.0,98.862,SOFT,5.0,1.0,,,3.0,21,106.8,3.204,True,0.071,57.0,55.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,3.0,98.83,SOFT,6.0,1.0,,,3.0,1,105.2,3.156,True,0.071,57.0,54.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,4.0,98.758,SOFT,7.0,1.0,,,3.0,1,103.6,3.108,True,0.071,57.0,53.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,5.0,98.404,SOFT,8.0,1.0,,,3.0,1,102.0,3.06,True,0.071,57.0,52.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,6.0,98.718,SOFT,9.0,1.0,,,3.0,1,100.4,3.012,True,0.071,57.0,51.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,7.0,98.804,SOFT,10.0,1.0,,,3.0,1,98.8,2.964,True,0.071,57.0,50.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,8.0,99.172,SOFT,11.0,1.0,,,3.0,1,97.2,2.916,True,0.071,57.0,49.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,9.0,98.914,SOFT,12.0,1.0,,,3.0,1,95.6,2.868,True,0.071,57.0,48.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,10.0,99.085,SOFT,13.0,1.0,,,3.0,1,94.0,2.82,True,0.071,57.0,47.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,11.0,99.249,SOFT,14.0,1.0,,,3.0,1,92.4,2.772,True,0.071,57.0,46.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,12.0,99.197,SOFT,15.0,1.0,,,3.0,1,90.8,2.724,True,0.071,57.0,45.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,13.0,99.336,SOFT,16.0,1.0,,,2.0,1,89.2,2.676,True,0.071,57.0,44.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,14.0,98.739,SOFT,17.0,1.0,,,2.0,1,87.6,2.628,True,0.071,57.0,43.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,15.0,98.608,SOFT,18.0,1.0,,,1.0,1,86.0,2.58,True,0.071,57.0,42.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,16.0,98.77,SOFT,19.0,1.0,,,1.0,1,84.4,2.532,True,0.071,57.0,41.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,17.0,101.36,SOFT,20.0,1.0,5441.043,,1.0,1,82.8,2.484,False,0.071,57.0,40.0,0,0,1
Bahrain,2023,PER,Red Bull Racing,18.0,118.797,SOFT,3.0,2.0,,5465.324,3.0,1,81.2,2.436,False,-0.1747,57.0,39.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,19.0,97.659,SOFT,4.0,2.0,,,3.0,1,79.6,2.388,True,-0.1747,57.0,38.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,20.0,97.448,SOFT,5.0,2.0,,,3.0,1,78.0,2.34,True,-0.1747,57.0,37.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,21.0,97.24,SOFT,6.0,2.0,,,3.0,1,76.4,2.292,True,-0.1747,57.0,36.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,22.0,97.169,SOFT,7.0,2.0,,,3.0,1,74.8,2.244,True,-0.1747,57.0,35.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,23.0,97.304,SOFT,8.0,2.0,,,3.0,1,73.2,2.196,True,-0.1747,57.0,34.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,24.0,97.352,SOFT,9.0,2.0,,,3.0,1,71.6,2.148,True,-0.1747,57.0,33.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,25.0,98.418,SOFT,10.0,2.0,,,3.0,1,70.0,2.1,True,-0.1747,57.0,32.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,26.0,97.454,SOFT,11.0,2.0,,,2.0,1,68.4,2.052,True,-0.1747,57.0,31.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,27.0,97.387,SOFT,12.0,2.0,,,2.0,1,66.8,2.004,True,-0.1747,57.0,30.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,28.0,97.211,SOFT,13.0,2.0,,,2.0,1,65.2,1.956,True,-0.1747,57.0,29.0,0,0,0
Bahrain,2023,PER,Red Bull Racing,29.0,97.733,SOFT,14.0,2.0,,,2.0,1,63.6,1.908,True,-0.1747,57.0,28.0,0,0,0
