Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Race,Season
0 days 00:00:45.438000,29.8,19.0,1016.5,False,35.1,176,1.2,Bahrain,2023
0 days 00:01:45.453000,29.7,19.0,1016.5,False,35.0,182,1.2,Bahrain,2023
0 days 00:02:45.452000,29.7,19.0,1016.5,False,34.9,156,1.1,Bahrain,2023
0 days 00:03:45.466000,29.6,19.0,1016.5,False,34.9,201,0.8,Bahrain,2023
0 days 00:04:45.449000,29.6,19.0,1016.5,False,34.8,219,0.8,Bahrain,2023
0 days 00:05:45.449000,29.6,19.0,1016.5,False,34.7,219,0.8,Bahrain,2023
0 days 00:06:45.447000,29.6,19.0,1016.5,False,34.7,196,0.6,Bahrain,2023
0 days 00:07:45.446000,29.6,18.0,1016.5,False,34.6,200,0.6,Bahrain,2023
0 days 00:08:45.461000,29.5,18.0,1016.5,False,34.5,180,0.8,Bahrain,2023
0 days 00:09:45.460000,29.5,18.0,1016.5,False,34.4,184,1.2,Bahrain,2023
0 days 00:10:45.474000,29.5,18.0,1016.5,False,34.2,199,1.0,Bahrain,2023
0 days 00:11:45.474000,29.5,18.0,1016.5,False,34.1,191,1.2,Bahrain,2023
0 days 00:12:45.472000,29.4,18.0,1016.5,False,34.2,173,1.0,Bahrain,2023
0 days 00:13:45.455000,29.4,18.0,1016.5,False,34.1,165,1.0,Bahrain,2023
0 days 00:14:45.485000,29.4,18.0,1016.5,False,34.0,170,1.1,Bahrain,2023
0 days 00:15:45.500000,29.4,18.0,1016.5,False,34.0,169,1.0,Bahrain,2023
0 days 00:16:45.499000,29.3,18.0,1016.5,False,33.8,180,1.1,Bahrain,2023
0 days 00:17:45.498000,29.3,18.0,1016.5,False,33.8,185,1.2,Bahrain,2023
0 days 00:18:45.497000,29.2,19.0,1016.5,False,33.8,172,1.5,Bahrain,2023
0 days 00:19:45.511000,29.1,21.0,1016.5,False,33.6,172,0.8,Bahrain,2023
0 days 00:20:45.526000,29.1,21.0,1016.5,False,33.6,181,1.0,Bahrain,2023
0 days 00:21:45.509000,29.1,22.0,1016.5,False,33.5,185,1.6,Bahrain,2023
0 days 00:22:45.524000,29.0,24.0,1016.5,False,33.3,180,1.7,Bahrain,2023
0 days 00:23:45.522000,29.0,25.0,1016.5,False,33.2,186,2.2,Bahrain,2023
0 days 00:24:45.523000,28.9,25.0,1016.5,False,33.2,187,2.0,Bahrain,2023
0 days 00:25:45.520000,28.9,25.0,1016.5,False,32.9,185,2.0,Bahrain,2023
0 days 00:26:45.519000,28.8,25.0,1016.5,False,33.1,187,1.7,Bahrain,2023
0 days 00:27:45.534000,28.8,26.0,1016.5,False,33.1,185,1.7,Bahrain,2023
0 days 00:28:45.548000,28.6,26.0,1016.5,False,32.7,180,1.6,Bahrain,2023
0 days 00:29:45.563000,28.6,26.0,1016.7,False,32.7,161,1.2,Bahrain,2023
0 days 00:30:45.577000,28.6,27.0,1016.5,False,32.7,182,1.5,Bahrain,2023
0 days 00:31:45.577000,28.5,27.0,1016.7,False,32.7,162,2.0,Bahrain,2023
0 days 00:32:45.575000,28.4,27.0,1016.5,False,32.7,181,1.3,Bahrain,2023
0 days 00:33:45.591000,28.4,28.0,1016.5,False,32.3,173,1.7,Bahrain,2023
0 days 00:34:45.573000,28.4,28.0,1016.7,False,32.2,184,1.2,Bahrain,2023
0 days 00:35:45.588000,28.4,28.0,1016.7,False,32.2,175,1.1,Bahrain,2023
0 days 00:36:45.586000,28.3,28.0,1016.5,False,32.2,180,0.8,Bahrain,2023
0 days 00:37:45.585000,28.3,28.0,1016.7,False,32.1,194,0.6,Bahrain,2023
0 days 00:38:45.600000,28.2,26.0,1016.7,False,32.2,162,0.8,Bahrain,2023
0 days 00:39:45.614000,28.2,25.0,1016.5,False,32.2,164,0.8,Bahrain,2023
0 days 00:40:45.629000,28.1,24.0,1016.7,False,32.2,172,1.1,Bahrain,2023
0 days 00:41:45.628000,28.0,23.0,1016.7,False,32.2,167,0.8,Bahrain,2023
0 days 00:42:45.627000,28.0,23.0,1016.7,False,32.2,165,0.8,Bahrain,2023
0 days 00:43:45.626000,28.0,22.0,1016.7,False,32.1,176,0.6,Bahrain,2023
0 days 00:44:45.640000,28.0,22.0,1016.7,False,32.1,179,0.8,Bahrain,2023
0 days 00:45:45.639000,28.0,21.0,1016.7,False,32.1,261,0.6,Bahrain,2023
