Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
Italian,2023,VER,Red Bull Racing,1.0,87.905,,29.666,28.473,MEDIUM,1.0,1.0,,,2.0,1,False,True,108.4,3.252,320.0,307.0,306.0,285.0
Italian,2023,VER,Red Bull Racing,2.0,86.163,28.274,29.543,28.346,MEDIUM,2.0,1.0,,,2.0,1,True,True,106.8,3.204,309.0,309.0,307.0,305.0
Italian,2023,VER,Red Bull Racing,3.0,85.702,28.097,29.32,28.285,MEDIUM,3.0,1.0,,,2.0,1,True,True,105.2,3.156,310.0,320.0,308.0,309.0
Italian,2023,VER,Red Bull Racing,4.0,86.05,28.145,29.474,28.431,MEDIUM,4.0,1.0,,,2.0,1,True,True,103.6,3.108,311.0,320.0,309.0,318.0
Italian,2023,VER,Red Bull Racing,5.0,86.176,28.155,29.514,28.507,MEDIUM,5.0,1.0,,,2.0,1,True,True,102.0,3.06,311.0,321.0,310.0,317.0
Italian,2023,VER,Red Bull Racing,6.0,86.837,28.7,29.662,28.475,MEDIUM,6.0,1.0,,,2.0,1,True,True,100.4,3.012,310.0,319.0,309.0,347.0
Italian,2023,VER,Red Bull Racing,7.0,86.368,28.166,29.751,28.451,MEDIUM,7.0,1.0,,,2.0,1,True,True,98.8,2.964,309.0,318.0,309.0,320.0
Italian,2023,VER,Red Bull Racing,8.0,85.99,28.075,29.432,28.483,MEDIUM,8.0,1.0,,,2.0,1,True,True,97.2,2.916,312.0,322.0,310.0,321.0
Italian,2023,VER,Red Bull Racing,9.0,86.605,28.149,29.927,28.529,MEDIUM,9.0,1.0,,,2.0,1,True,True,95.6,2.868,312.0,319.0,309.0,344.0
Italian,2023,VER,Red Bull Racing,10.0,86.603,28.315,29.78,28.508,MEDIUM,10.0,1.0,,,2.0,1,True,True,94.0,2.82,312.0,319.0,309.0,322.0
Italian,2023,VER,Red Bull Racing,11.0,86.643,28.233,29.893,28.517,MEDIUM,11.0,1.0,,,2.0,1,True,True,92.4,2.772,311.0,322.0,308.0,319.0
Italian,2023,VER,Red Bull Racing,12.0,86.442,28.179,29.813,28.45,MEDIUM,12.0,1.0,,,2.0,1,True,True,90.8,2.724,311.0,319.0,310.0,322.0
Italian,2023,VER,Red Bull Racing,13.0,86.666,28.254,29.907,28.505,MEDIUM,13.0,1.0,,,2.0,1,True,True,89.2,2.676,313.0,322.0,309.0,322.0
Italian,2023,VER,Red Bull Racing,14.0,87.028,28.223,30.28,28.525,MEDIUM,14.0,1.0,,,2.0,1,True,True,87.6,2.628,314.0,320.0,310.0,343.0
Italian,2023,VER,Red Bull Racing,15.0,86.782,28.137,30.444,28.201,MEDIUM,15.0,1.0,,,1.0,1,True,True,86.0,2.58,320.0,306.0,306.0,345.0
Italian,2023,VER,Red Bull Racing,16.0,86.718,28.45,29.91,28.358,MEDIUM,16.0,1.0,,,1.0,1,True,True,84.4,2.532,307.0,306.0,307.0,308.0
Italian,2023,VER,Red Bull Racing,17.0,86.733,28.348,29.889,28.496,MEDIUM,17.0,1.0,,,1.0,1,True,True,82.8,2.484,309.0,307.0,307.0,310.0
Italian,2023,VER,Red Bull Racing,18.0,86.273,28.247,29.668,28.358,MEDIUM,18.0,1.0,,,1.0,1,True,True,81.2,2.436,311.0,308.0,307.0,311.0
Italian,2023,VER,Red Bull Racing,19.0,86.438,28.368,29.832,28.238,MEDIUM,19.0,1.0,,,1.0,1,True,True,79.6,2.388,311.0,311.0,307.0,310.0
Italian,2023,VER,Red Bull Racing,20.0,90.849,28.384,29.907,32.558,MEDIUM,20.0,1.0,6673.003,,1.0,1,False,True,78.0,2.34,311.0,311.0,,310.0
Italian,2023,VER,Red Bull Racing,21.0,105.66,48.054,29.398,28.208,HARD,1.0,2.0,,6697.284,5.0,1,False,True,76.4,2.292,312.0,317.0,309.0,281.0
Italian,2023,VER,Red Bull Racing,22.0,85.885,28.01,29.546,28.329,HARD,2.0,2.0,,,3.0,1,True,True,74.8,2.244,313.0,315.0,308.0,322.0
Italian,2023,VER,Red Bull Racing,23.0,86.159,28.131,29.638,28.39,HARD,3.0,2.0,,,2.0,1,True,True,73.2,2.196,313.0,310.0,309.0,314.0
Italian,2023,VER,Red Bull Racing,24.0,86.327,28.187,29.358,28.782,HARD,4.0,2.0,,,2.0,1,True,True,71.6,2.148,314.0,318.0,316.0,312.0
Italian,2023,VER,Red Bull Racing,25.0,85.914,28.052,29.542,28.32,HARD,5.0,2.0,,,1.0,1,True,True,70.0,2.1,307.0,308.0,307.0,340.0
Italian,2023,VER,Red Bull Racing,26.0,85.786,28.257,29.382,28.147,HARD,6.0,2.0,,,1.0,1,True,True,68.4,2.052,308.0,309.0,307.0,311.0
Italian,2023,VER,Red Bull Racing,27.0,85.501,28.117,29.266,28.118,HARD,7.0,2.0,,,1.0,1,True,True,66.8,2.004,311.0,314.0,307.0,314.0
