Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Race,Season
0 days 00:00:36.015000,28.5,45.0,1001.0,False,43.2,302,1.8,Italian,2023
0 days 00:01:36.014000,28.6,45.0,1001.2,False,43.3,287,2.0,Italian,2023
0 days 00:02:36.014000,28.5,45.0,1001.0,False,43.3,269,0.6,Italian,2023
0 days 00:03:36.013000,28.5,45.0,1001.0,False,43.3,154,0.8,Italian,2023
0 days 00:04:36.012000,28.4,46.0,1001.0,False,42.8,274,0.8,Italian,2023
0 days 00:05:36.012000,28.4,45.0,1001.0,False,42.8,285,1.0,Italian,2023
0 days 00:06:36.011000,28.5,45.0,1001.0,False,42.8,237,1.0,Italian,2023
0 days 00:07:36.010000,28.5,46.0,1001.0,False,42.7,240,1.2,Italian,2023
0 days 00:08:36.010000,28.4,45.0,1001.0,False,43.2,201,1.1,Italian,2023
0 days 00:09:36.009000,28.4,45.0,1001.0,False,43.2,186,1.2,Italian,2023
0 days 00:10:36.024000,28.4,45.0,1001.0,False,43.2,95,0.4,Italian,2023
0 days 00:11:36.008000,28.5,45.0,1001.0,False,42.8,215,1.0,Italian,2023
0 days 00:12:36.022000,28.5,45.0,1001.0,False,43.0,193,1.1,Italian,2023
0 days 00:13:36.022000,28.5,46.0,1001.2,False,42.7,254,1.1,Italian,2023
0 days 00:14:36.006000,28.6,46.0,1001.0,False,42.8,296,0.8,Italian,2023
0 days 00:15:36.020000,28.6,46.0,1001.0,False,43.0,316,1.2,Italian,2023
0 days 00:16:36.020000,28.7,46.0,1001.0,False,43.0,238,0.6,Italian,2023
0 days 00:17:36.019000,28.8,46.0,1001.2,False,42.3,267,1.1,Italian,2023
0 days 00:18:36.018000,28.8,46.0,1001.2,False,42.3,130,1.3,Italian,2023
0 days 00:19:36.018000,28.9,45.0,1001.0,False,42.4,130,2.0,Italian,2023
0 days 00:20:36.017000,28.6,46.0,1001.0,False,42.6,0,1.5,Italian,2023
0 days 00:21:36.016000,28.8,46.0,1001.2,False,42.6,214,0.5,Italian,2023
0 days 00:22:36.016000,28.8,45.0,1001.0,False,43.2,0,0.6,Italian,2023
0 days 00:23:36.031000,28.7,45.0,1001.0,False,42.6,222,0.6,Italian,2023
0 days 00:24:36.046000,28.8,44.0,1001.0,False,42.4,259,0.6,Italian,2023
0 days 00:25:36.045000,28.7,45.0,1001.0,False,42.2,189,1.1,Italian,2023
0 days 00:26:36.060000,28.8,44.0,1001.0,False,42.1,85,1.0,Italian,2023
0 days 00:27:36.075000,28.8,44.0,1001.0,False,42.3,274,1.3,Italian,2023
0 days 00:28:36.074000,28.8,44.0,1001.0,False,42.3,294,1.2,Italian,2023
0 days 00:29:36.074000,28.7,44.0,1001.0,False,42.9,230,0.8,Italian,2023
0 days 00:30:36.073000,28.7,44.0,1001.0,False,42.8,282,1.8,Italian,2023
0 days 00:31:36.088000,28.6,45.0,1000.9,False,42.8,277,1.2,Italian,2023
0 days 00:32:36.103000,28.6,45.0,1000.9,False,42.7,240,1.2,Italian,2023
0 days 00:33:36.102000,28.7,45.0,1000.9,False,43.0,0,1.0,Italian,2023
0 days 00:34:36.117000,28.8,44.0,1000.9,False,43.0,44,0.5,Italian,2023
0 days 00:35:36.132000,28.8,44.0,1000.9,False,43.4,134,1.1,Italian,2023
0 days 00:36:36.131000,28.7,44.0,1000.9,False,43.3,275,1.2,Italian,2023
0 days 00:37:36.146000,28.7,44.0,1000.9,False,43.2,322,1.7,Italian,2023
0 days 00:38:36.146000,28.6,45.0,1000.9,False,42.7,233,1.2,Italian,2023
0 days 00:39:36.161000,28.6,45.0,1000.9,False,42.6,0,0.6,Italian,2023
0 days 00:40:36.160000,28.6,44.0,1000.7,False,42.6,0,0.0,Italian,2023
0 days 00:41:36.159000,28.8,44.0,1000.7,False,42.7,293,0.0,Italian,2023
0 days 00:42:36.159000,28.7,44.0,1000.7,False,42.8,339,0.6,Italian,2023
0 days 00:43:36.174000,28.8,43.0,1000.7,False,42.8,13,1.1,Italian,2023
0 days 00:44:36.157000,28.8,43.0,1000.9,False,42.8,7,0.8,Italian,2023
0 days 00:45:36.157000,28.9,43.0,1000.7,False,42.8,0,0.8,Italian,2023
0 days 00:46:36.156000,28.8,44.0,1000.7,False,42.8,140,1.0,Italian,2023
0 days 00:47:36.155000,28.9,45.0,1000.7,False,42.8,195,0.6,Italian,2023
0 days 00:48:36.170000,28.9,44.0,1000.9,False,43.4,254,0.6,Italian,2023
0 days 00:49:36.170000,29.0,43.0,1000.9,False,43.4,133,0.8,Italian,2023
0 days 00:50:36.169000,29.0,42.0,1000.9,False,43.0,301,1.0,Italian,2023
0 days 00:51:36.168000,28.9,43.0,1000.7,False,42.7,233,0.8,Italian,2023
0 days 00:52:36.168000,28.8,44.0,1000.7,False,42.7,285,0.6,Italian,2023
0 days 00:53:36.167000,28.9,43.0,1000.7,False,42.2,16,0.6,Italian,2023
0 days 00:54:36.166000,29.0,42.0,1000.7,False,42.9,47,1.7,Italian,2023
0 days 00:55:36.166000,28.9,42.0,1000.7,False,42.9,207,0.8,Italian,2023
0 days 00:56:36.165000,28.9,43.0,1000.7,False,43.0,294,0.5,Italian,2023
0 days 00:57:36.164000,29.0,43.0,1000.7,False,43.1,328,0.5,Italian,2023
0 days 00:58:36.164000,29.0,42.0,1000.7,False,43.0,8,1.2,Italian,2023
0 days 00:59:36.163000,29.1,41.0,1000.7,False,42.7,196,1.6,Italian,2023
0 days 01:00:36.178000,29.1,42.0,1000.7,False,42.7,346,0.6,Italian,2023
0 days 01:01:36.177000,29.1,42.0,1000.5,False,43.4,3,0.8,Italian,2023
0 days 01:02:36.176000,29.0,41.0,1000.7,False,43.4,28,1.7,Italian,2023
0 days 01:03:36.176000,28.9,42.0,1000.7,False,43.1,78,0.4,Italian,2023
0 days 01:04:36.175000,29.0,41.0,1000.5,False,43.4,188,0.4,Italian,2023
0 days 01:05:36.174000,29.1,42.0,1000.5,False,43.8,46,0.5,Italian,2023
0 days 01:06:36.174000,29.2,41.0,1000.5,False,43.4,251,0.4,Italian,2023
0 days 01:07:36.173000,29.3,41.0,1000.5,False,43.5,5,0.8,Italian,2023
0 days 01:08:36.172000,29.4,41.0,1000.5,False,43.5,15,1.2,Italian,2023
0 days 01:09:36.187000,29.3,41.0,1000.5,False,43.6,177,1.5,Italian,2023
0 days 01:10:36.171000,29.3,42.0,1000.5,False,43.3,209,0.4,Italian,2023
0 days 01:11:36.186000,29.4,43.0,1000.5,False,43.0,226,0.6,Italian,2023
0 days 01:12:36.201000,29.3,44.0,1000.5,False,43.0,139,0.8,Italian,2023
0 days 01:13:36.216000,29.3,44.0,1000.5,False,43.4,286,0.5,Italian,2023
0 days 01:14:36.215000,29.3,43.0,1000.5,False,43.6,285,0.6,Italian,2023
0 days 01:15:36.215000,29.3,44.0,1000.5,False,43.6,210,0.6,Italian,2023
0 days 01:16:36.230000,29.2,44.0,1000.5,False,43.4,238,1.1,Italian,2023
0 days 01:17:36.229000,29.3,42.0,1000.5,False,43.6,249,1.1,Italian,2023
0 days 01:18:36.228000,29.3,42.0,1000.5,False,43.0,223,0.8,Italian,2023
0 days 01:19:36.275000,29.2,42.0,1000.5,False,42.7,17,0.4,Italian,2023
0 days 01:20:36.243000,29.3,42.0,1000.5,False,42.7,271,0.4,Italian,2023
0 days 01:21:36.242000,29.3,41.0,1000.5,False,42.8,332,0.6,Italian,2023
0 days 01:22:36.257000,29.2,41.0,1000.4,False,42.5,341,1.3,Italian,2023
0 days 01:23:36.272000,29.2,41.0,1000.4,False,42.5,4,1.5,Italian,2023
0 days 01:24:36.271000,29.2,40.0,1000.5,False,43.1,189,1.0,Italian,2023
0 days 01:25:36.302000,29.3,39.0,1000.4,False,43.2,36,0.6,Italian,2023
0 days 01:26:36.317000,29.4,39.0,1000.4,False,43.2,23,1.3,Italian,2023
0 days 01:27:36.316000,29.5,40.0,1000.4,False,43.1,204,0.8,Italian,2023
0 days 01:28:36.315000,29.5,41.0,1000.4,False,43.1,250,1.2,Italian,2023
0 days 01:29:36.315000,29.5,42.0,1000.4,False,43.3,145,1.6,Italian,2023
0 days 01:30:36.314000,29.7,41.0,1000.2,False,43.4,164,1.7,Italian,2023
0 days 01:31:36.329000,29.6,42.0,1000.4,False,43.6,160,1.8,Italian,2023
0 days 01:32:36.313000,29.7,42.0,1000.2,False,43.6,0,2.4,Italian,2023
0 days 01:33:36.312000,29.7,43.0,1000.5,False,43.6,162,1.0,Italian,2023
0 days 01:34:36.311000,29.8,41.0,1000.4,False,44.1,178,0.6,Italian,2023
0 days 01:35:36.311000,29.8,41.0,1000.4,False,43.9,168,2.2,Italian,2023
0 days 01:36:36.326000,29.9,41.0,1000.2,False,43.9,162,2.2,Italian,2023
0 days 01:37:36.309000,29.9,41.0,1000.4,False,43.9,181,1.8,Italian,2023
0 days 01:38:36.324000,29.9,42.0,1000.4,False,43.3,8,1.7,Italian,2023
0 days 01:39:36.324000,29.8,41.0,1000.5,False,43.1,172,1.2,Italian,2023
0 days 01:40:36.339000,29.9,41.0,1000.4,False,43.7,199,1.2,Italian,2023
0 days 01:41:36.322000,30.1,40.0,1000.4,False,43.7,205,1.5,Italian,2023
0 days 01:42:36.322000,30.0,42.0,1000.4,False,43.7,258,2.0,Italian,2023
0 days 01:43:36.337000,30.0,42.0,1000.4,False,43.5,156,0.8,Italian,2023
0 days 01:44:36.320000,30.0,40.0,1000.4,False,43.9,178,1.7,Italian,2023
