Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
British,2023,ALB,Williams,2.0,95.004,29.913,38.718,26.373,MEDIUM,2.0,300.0,254.0,246.0,304.0,41.78,
British,2023,ALB,Williams,3.0,93.809,29.457,38.587,25.765,MEDIUM,3.0,316.0,255.0,245.0,322.0,41.868,
British,2023,ALB,Williams,4.0,93.866,29.454,38.504,25.908,MEDIUM,4.0,314.0,252.0,247.0,306.0,42.127,0.6741
British,2023,ALB,Williams,5.0,93.86,29.557,38.255,26.048,MEDIUM,5.0,299.0,252.0,247.0,300.0,41.581,0.5801
British,2023,ALB,Williams,6.0,94.21,29.811,38.423,25.976,MEDIUM,6.0,299.0,251.0,246.0,299.0,41.046,0.5035
British,2023,ALB,Williams,7.0,94.099,29.761,38.409,25.929,MEDIUM,7.0,300.0,252.0,246.0,304.0,41.076,0.1754
British,2023,ALB,Williams,8.0,93.922,29.719,38.246,25.957,MEDIUM,8.0,299.0,254.0,245.0,306.0,40.797,0.1559
British,2023,ALB,Williams,9.0,93.731,29.718,38.119,25.894,MEDIUM,9.0,300.0,253.0,246.0,307.0,41.042,0.1908
British,2023,ALB,Williams,10.0,94.045,29.78,38.276,25.989,MEDIUM,10.0,297.0,252.0,246.0,301.0,40.851,0.1833
British,2023,ALB,Williams,11.0,93.842,29.669,38.304,25.869,MEDIUM,11.0,297.0,254.0,246.0,302.0,41.766,0.1493
British,2023,ALB,Williams,12.0,93.857,29.763,38.231,25.863,MEDIUM,12.0,300.0,252.0,247.0,301.0,40.738,0.1153
British,2023,ALB,Williams,13.0,93.751,29.879,37.98,25.892,MEDIUM,13.0,296.0,254.0,247.0,296.0,40.72,0.1245
British,2023,ALB,Williams,14.0,93.951,30.042,38.047,25.862,MEDIUM,14.0,295.0,255.0,247.0,300.0,41.084,0.1123
British,2023,ALB,Williams,15.0,93.786,29.977,38.032,25.777,MEDIUM,15.0,295.0,253.0,247.0,302.0,41.003,0.0765
British,2023,ALB,Williams,16.0,94.343,29.955,38.002,26.386,MEDIUM,16.0,294.0,255.0,246.0,301.0,41.182,0.2392
British,2023,ALB,Williams,17.0,93.707,29.806,38.244,25.657,MEDIUM,17.0,313.0,257.0,246.0,321.0,41.741,0.2603
British,2023,ALB,Williams,18.0,93.615,29.894,37.859,25.862,MEDIUM,18.0,295.0,254.0,247.0,298.0,40.864,0.2865
British,2023,ALB,Williams,19.0,93.654,29.949,37.951,25.754,MEDIUM,19.0,297.0,254.0,248.0,304.0,41.523,0.2988
British,2023,ALB,Williams,20.0,93.44,29.933,37.883,25.624,MEDIUM,20.0,295.0,254.0,248.0,301.0,41.115,0.3453
British,2023,ALB,Williams,21.0,93.195,29.808,37.695,25.692,MEDIUM,21.0,296.0,254.0,248.0,303.0,41.104,0.2085
British,2023,ALB,Williams,22.0,93.021,29.746,37.759,25.516,MEDIUM,22.0,295.0,255.0,249.0,301.0,40.557,0.2724
British,2023,ALB,Williams,23.0,93.117,29.874,37.731,25.512,MEDIUM,23.0,295.0,255.0,248.0,304.0,40.566,0.258
British,2023,ALB,Williams,24.0,93.163,29.825,37.69,25.648,MEDIUM,24.0,297.0,256.0,248.0,305.0,41.967,0.1558
British,2023,ALB,Williams,25.0,93.374,29.88,37.866,25.628,MEDIUM,25.0,296.0,256.0,248.0,302.0,42.323,0.1296
British,2023,ALB,Williams,26.0,93.175,29.829,37.818,25.528,MEDIUM,26.0,295.0,255.0,249.0,301.0,41.033,0.1291
British,2023,ALB,Williams,27.0,93.126,29.871,37.863,25.392,MEDIUM,27.0,294.0,254.0,249.0,301.0,41.097,0.1052
British,2023,ALB,Williams,28.0,93.084,29.824,37.728,25.532,MEDIUM,28.0,295.0,254.0,249.0,303.0,40.464,0.1118
British,2023,ALB,Williams,29.0,92.869,29.729,37.652,25.488,MEDIUM,29.0,296.0,255.0,250.0,303.0,41.333,0.1815
British,2023,ALB,Williams,30.0,92.882,29.769,37.638,25.475,MEDIUM,30.0,298.0,256.0,250.0,304.0,40.932,0.1423
British,2023,ALB,Williams,31.0,92.816,29.701,37.604,25.511,MEDIUM,31.0,295.0,256.0,249.0,306.0,41.01,0.1396
British,2023,ALB,Williams,39.0,92.63,29.343,37.709,25.578,SOFT,11.0,308.0,261.0,251.0,309.0,41.247,0.1624
British,2023,ALB,Williams,40.0,92.176,29.371,37.497,25.308,SOFT,12.0,299.0,257.0,251.0,312.0,40.728,0.2964
British,2023,ALB,Williams,41.0,91.273,28.927,37.203,25.143,SOFT,13.0,320.0,263.0,251.0,330.0,40.761,0.665
British,2023,ALB,Williams,42.0,91.879,29.143,37.517,25.219,SOFT,14.0,315.0,262.0,251.0,326.0,42.137,0.6159
British,2023,ALB,Williams,43.0,91.752,29.156,37.14,25.456,SOFT,15.0,322.0,261.0,248.0,327.0,40.904,0.5039
British,2023,ALB,Williams,44.0,92.057,29.31,37.538,25.209,SOFT,16.0,319.0,261.0,249.0,323.0,41.341,0.35
British,2023,ALB,Williams,45.0,92.146,29.212,37.429,25.505,SOFT,17.0,320.0,261.0,249.0,305.0,41.01,0.3427
British,2023,ALB,Williams,46.0,92.116,29.173,37.411,25.532,SOFT,18.0,302.0,258.0,248.0,304.0,40.474,0.1686
British,2023,ALB,Williams,47.0,91.537,29.255,37.196,25.086,SOFT,19.0,306.0,263.0,250.0,327.0,41.332,0.2661
British,2023,ALB,Williams,48.0,91.466,29.15,37.18,25.136,SOFT,20.0,319.0,261.0,248.0,324.0,40.622,0.3338
British,2023,ALB,Williams,49.0,91.912,29.166,37.36,25.386,SOFT,21.0,317.0,262.0,248.0,321.0,41.574,0.3188
British,2023,ALB,Williams,50.0,91.86,29.086,37.286,25.488,SOFT,22.0,321.0,261.0,247.0,324.0,41.085,0.2713
British,2023,ALB,Williams,51.0,91.93,29.076,37.346,25.508,SOFT,23.0,319.0,260.0,249.0,322.0,40.676,0.2216
British,2023,ALB,Williams,52.0,91.809,29.267,37.139,25.403,SOFT,24.0,320.0,262.0,248.0,325.0,40.388,0.1901
British,2023,ALO,Aston Martin,2.0,94.419,30.019,38.184,26.216,MEDIUM,3.0,293.0,254.0,244.0,301.0,41.934,
British,2023,ALO,Aston Martin,3.0,93.424,29.461,38.136,25.827,MEDIUM,4.0,314.0,257.0,244.0,319.0,41.481,
British,2023,ALO,Aston Martin,4.0,93.156,29.311,37.956,25.889,MEDIUM,5.0,313.0,255.0,244.0,322.0,41.52,0.6655
British,2023,ALO,Aston Martin,5.0,94.157,29.7,38.245,26.212,MEDIUM,6.0,297.0,254.0,244.0,309.0,40.903,0.5962
British,2023,ALO,Aston Martin,6.0,94.636,29.935,38.452,26.249,MEDIUM,7.0,305.0,252.0,244.0,300.0,41.162,0.6403
British,2023,ALO,Aston Martin,7.0,94.645,29.904,38.838,25.903,MEDIUM,8.0,297.0,255.0,244.0,319.0,41.19,0.6872
British,2023,ALO,Aston Martin,8.0,94.019,29.808,38.063,26.148,MEDIUM,9.0,299.0,253.0,243.0,304.0,40.815,0.6088
British,2023,ALO,Aston Martin,9.0,93.657,29.725,37.858,26.074,MEDIUM,10.0,299.0,254.0,244.0,306.0,40.353,0.4228
British,2023,ALO,Aston Martin,10.0,93.711,29.682,37.85,26.179,MEDIUM,11.0,298.0,254.0,246.0,301.0,40.105,0.4829
British,2023,ALO,Aston Martin,11.0,93.737,29.728,37.938,26.071,MEDIUM,12.0,297.0,253.0,245.0,301.0,40.345,0.4111
