Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
British,2023,VER,Red Bull Racing,1.0,97.167,,38.051,26.073,MEDIUM,1.0,1.0,,,2.0,1,False,True,108.4,3.252,300.0,254.0,246.0,296.0
British,2023,VER,Red Bull Racing,2.0,93.433,29.616,38.0,25.817,MEDIUM,2.0,1.0,,,2.0,1,True,True,106.8,3.204,290.0,255.0,244.0,291.0
British,2023,VER,Red Bull Racing,3.0,92.73,29.38,37.69,25.66,MEDIUM,3.0,1.0,,,2.0,1,True,True,105.2,3.156,311.0,259.0,245.0,318.0
British,2023,VER,Red Bull Racing,4.0,92.78,29.407,37.65,25.723,MEDIUM,4.0,1.0,,,2.0,1,True,True,103.6,3.108,313.0,259.0,245.0,316.0
British,2023,VER,Red Bull Racing,5.0,92.582,29.338,37.403,25.841,MEDIUM,5.0,1.0,,,1.0,1,True,True,102.0,3.06,320.0,254.0,244.0,288.0
British,2023,VER,Red Bull Racing,6.0,93.027,29.667,37.543,25.817,MEDIUM,6.0,1.0,,,1.0,1,True,True,100.4,3.012,290.0,255.0,245.0,285.0
British,2023,VER,Red Bull Racing,7.0,93.1,29.726,37.612,25.762,MEDIUM,7.0,1.0,,,1.0,1,True,True,98.8,2.964,292.0,255.0,245.0,287.0
British,2023,VER,Red Bull Racing,8.0,92.884,29.625,37.578,25.681,MEDIUM,8.0,1.0,,,1.0,1,True,True,97.2,2.916,293.0,256.0,245.0,287.0
British,2023,VER,Red Bull Racing,9.0,92.822,29.78,37.489,25.553,MEDIUM,9.0,1.0,,,1.0,1,True,True,95.6,2.868,291.0,257.0,246.0,288.0
British,2023,VER,Red Bull Racing,10.0,92.594,29.66,37.373,25.561,MEDIUM,10.0,1.0,,,1.0,1,True,True,94.0,2.82,293.0,257.0,245.0,287.0
British,2023,VER,Red Bull Racing,11.0,92.597,29.586,37.463,25.548,MEDIUM,11.0,1.0,,,1.0,1,True,True,92.4,2.772,292.0,256.0,246.0,287.0
British,2023,VER,Red Bull Racing,12.0,92.687,29.742,37.389,25.556,MEDIUM,12.0,1.0,,,1.0,1,True,True,90.8,2.724,293.0,256.0,244.0,288.0
British,2023,VER,Red Bull Racing,13.0,92.678,29.703,37.319,25.656,MEDIUM,13.0,1.0,,,1.0,1,True,True,89.2,2.676,293.0,256.0,244.0,287.0
British,2023,VER,Red Bull Racing,14.0,93.046,30.031,37.422,25.593,MEDIUM,14.0,1.0,,,1.0,1,True,True,87.6,2.628,289.0,255.0,246.0,289.0
British,2023,VER,Red Bull Racing,15.0,92.99,29.96,37.469,25.561,MEDIUM,15.0,1.0,,,1.0,1,True,True,86.0,2.58,289.0,255.0,245.0,290.0
British,2023,VER,Red Bull Racing,16.0,92.808,29.914,37.373,25.521,MEDIUM,16.0,1.0,,,1.0,1,True,True,84.4,2.532,291.0,257.0,245.0,291.0
British,2023,VER,Red Bull Racing,17.0,92.603,29.803,37.276,25.524,MEDIUM,17.0,1.0,,,1.0,1,True,True,82.8,2.484,289.0,256.0,246.0,290.0
British,2023,VER,Red Bull Racing,18.0,92.507,29.877,37.283,25.347,MEDIUM,18.0,1.0,,,1.0,1,True,True,81.2,2.436,290.0,256.0,245.0,293.0
British,2023,VER,Red Bull Racing,19.0,92.338,29.799,37.24,25.299,MEDIUM,19.0,1.0,,,1.0,1,True,True,79.6,2.388,290.0,256.0,246.0,291.0
British,2023,VER,Red Bull Racing,20.0,92.295,29.772,37.273,25.25,MEDIUM,20.0,1.0,,,1.0,1,True,True,78.0,2.34,290.0,257.0,247.0,293.0
