Race,Season,Driver,Team,LapNumber,LapTime_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,FuelLoad_kg,FuelCorrection_s,IsAccurate,DegRate_s_lap,TotalLaps,LapsRemaining,SafetyCar,RedFlag,IsPitLap
British,2023,VER,Red Bull Racing,1.0,97.167,MEDIUM,1.0,1.0,,,2.0,1,108.4,3.252,False,0.0936,52.0,51.0,0,0,0
British,2023,VER,Red Bull Racing,2.0,93.433,MEDIUM,2.0,1.0,,,2.0,1,106.8,3.204,True,0.0936,52.0,50.0,0,0,0
British,2023,VER,Red Bull Racing,3.0,92.73,MEDIUM,3.0,1.0,,,2.0,1,105.2,3.156,True,0.0936,52.0,49.0,0,0,0
British,2023,VER,Red Bull Racing,4.0,92.78,MEDIUM,4.0,1.0,,,2.0,1,103.6,3.108,True,0.0936,52.0,48.0,0,0,0
British,2023,VER,Red Bull Racing,5.0,92.582,MEDIUM,5.0,1.0,,,1.0,1,102.0,3.06,True,0.0936,52.0,47.0,0,0,0
British,2023,VER,Red Bull Racing,6.0,93.027,MEDIUM,6.0,1.0,,,1.0,1,100.4,3.012,True,0.0936,52.0,46.0,0,0,0
British,2023,VER,Red Bull Racing,7.0,93.1,MEDIUM,7.0,1.0,,,1.0,1,98.8,2.964,True,0.0936,52.0,45.0,0,0,0
British,2023,VER,Red Bull Racing,8.0,92.884,MEDIUM,8.0,1.0,,,1.0,1,97.2,2.916,True,0.0936,52.0,44.0,0,0,0
British,2023,VER,Red Bull Racing,9.0,92.822,MEDIUM,9.0,1.0,,,1.0,1,95.6,2.868,True,0.0936,52.0,43.0,0,0,0
British,2023,VER,Red Bull Racing,10.0,92.594,MEDIUM,10.0,1.0,,,1.0,1,94.0,2.82,True,0.0936,52.0,42.0,0,0,0
British,2023,VER,Red Bull Racing,11.0,92.597,MEDIUM,11.0,1.0,,,1.0,1,92.4,2.772,True,0.0936,52.0,41.0,0,0,0
British,2023,VER,Red Bull Racing,12.0,92.687,MEDIUM,12.0,1.0,,,1.0,1,90.8,2.724,True,0.0936,52.0,40.0,0,0,0
British,2023,VER,Red Bull Racing,13.0,92.678,MEDIUM,13.0,1.0,,,1.0,1,89.2,2.676,True,0.0936,52.0,39.0,0,0,0
British,2023,VER,Red Bull Racing,14.0,93.046,MEDIUM,14.0,1.0,,,1.0,1,87.6,2.628,True,0.0936,52.0,38.0,0,0,0
British,2023,VER,Red Bull Racing,15.0,92.99,MEDIUM,15.0,1.0,,,1.0,1,86.0,2.58,True,0.0936,52.0,37.0,0,0,0
British,2023,VER,Red Bull Racing,16.0,92.808,MEDIUM,16.0,1.0,,,1.0,1,84.4,2.532,True,0.0936,52.0,36.0,0,0,0
British,2023,VER,Red Bull Racing,17.0,92.603,MEDIUM,17.0,1.0,,,1.0,1,82.8,2.484,True,0.0936,52.0,35.0,0,0,0
British,2023,VER,Red Bull Racing,18.0,92.507,MEDIUM,18.0,1.0,,,1.0,1,81.2,2.436,True,0.0936,52.0,34.0,0,0,0
British,2023,VER,Red Bull Racing,19.0,92.338,MEDIUM,19.0,1.0,,,1.0,1,79.6,2.388,True,0.0936,52.0,33.0,0,0,0
British,2023,VER,Red Bull Racing,20.0,92.295,MEDIUM,20.0,1.0,,,1.0,1,78.0,2.34,True,0.0936,52.0,32.0,0,0,0
British,2023,VER,Red Bull Racing,21.0,92.494,MEDIUM,21.0,1.0,,,1.0,1,76.4,2.292,True,0.0936,52.0,31.0,0,0,0
British,2023,VER,Red Bull Racing,22.0,92.184,MEDIUM,22.0,1.0,,,1.0,1,74.8,2.244,True,0.0936,52.0,30.0,0,0,0
British,2023,VER,Red Bull Racing,23.0,92.272,MEDIUM,23.0,1.0,,,1.0,1,73.2,2.196,True,0.0936,52.0,29.0,0,0,0
British,2023,VER,Red Bull Racing,24.0,92.35,MEDIUM,24.0,1.0,,,1.0,1,71.6,2.148,True,0.0936,52.0,28.0,0,0,0
British,2023,VER,Red Bull Racing,25.0,92.295,MEDIUM,25.0,1.0,,,1.0,1,70.0,2.1,True,0.0936,52.0,27.0,0,0,0
British,2023,VER,Red Bull Racing,26.0,92.276,MEDIUM,26.0,1.0,,,1.0,1,68.4,2.052,True,0.0936,52.0,26.0,0,0,0
British,2023,VER,Red Bull Racing,27.0,92.138,MEDIUM,27.0,1.0,,,1.0,1,66.8,2.004,True,0.0936,52.0,25.0,0,0,0
British,2023,VER,Red Bull Racing,28.0,92.215,MEDIUM,28.0,1.0,,,1.0,1,65.2,1.956,True,0.0936,52.0,24.0,0,0,0
British,2023,VER,Red Bull Racing,29.0,92.251,MEDIUM,29.0,1.0,,,1.0,1,63.6,1.908,True,0.0936,52.0,23.0,0,0,0
British,2023,VER,Red Bull Racing,30.0,92.363,MEDIUM,30.0,1.0,,,1.0,1,62.0,1.86,True,0.0936,52.0,22.0,0,0,0
British,2023,VER,Red Bull Racing,31.0,92.388,MEDIUM,31.0,1.0,,,1.0,1,60.4,1.812,True,0.0936,52.0,21.0,0,0,0
British,2023,VER,Red Bull Racing,32.0,92.21,MEDIUM,32.0,1.0,,,1.0,1,58.8,1.764,True,0.0936,52.0,20.0,0,0,0
British,2023,VER,Red Bull Racing,33.0,118.611,MEDIUM,33.0,1.0,6808.742,,1.0,1264,57.2,1.716,False,0.0936,52.0,19.0,0,0,1
