Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Race,Season
0 days 00:00:12.344000,22.1,51.0,1001.4,False,36.2,233,2.7,British,2023
0 days 00:01:12.358000,22.3,50.0,1001.4,False,36.7,224,2.2,British,2023
0 days 00:02:12.342000,22.4,50.0,1001.4,False,35.4,194,3.0,British,2023
0 days 00:03:12.356000,22.3,50.0,1001.4,False,35.3,176,4.3,British,2023
0 days 00:04:12.355000,22.1,52.0,1001.2,False,35.5,200,4.9,British,2023
0 days 00:05:12.354000,22.2,52.0,1001.4,False,36.1,188,5.4,British,2023
0 days 00:06:12.353000,22.3,51.0,1001.5,False,36.1,183,4.9,British,2023
0 days 00:07:12.352000,22.3,52.0,1001.4,False,36.3,193,5.0,British,2023
0 days 00:08:12.351000,22.2,52.0,1001.4,False,36.5,208,4.1,British,2023
0 days 00:09:12.365000,22.1,52.0,1001.4,False,36.7,189,3.5,British,2023
0 days 00:10:12.349000,22.2,51.0,1001.4,False,36.2,198,3.0,British,2023
0 days 00:11:12.348000,22.1,53.0,1001.4,False,34.3,204,3.4,British,2023
0 days 00:12:12.362000,22.0,53.0,1001.2,False,33.9,195,2.5,British,2023
0 days 00:13:12.361000,22.0,54.0,1001.2,False,33.9,231,2.4,British,2023
0 days 00:14:12.360000,22.0,52.0,1001.4,False,35.0,197,3.2,British,2023
0 days 00:15:12.359000,21.9,52.0,1001.4,False,35.3,217,3.4,British,2023
0 days 00:16:12.358000,22.0,52.0,1001.4,False,35.3,199,4.0,British,2023
0 days 00:17:12.357000,22.1,50.0,1001.4,False,36.4,210,4.4,British,2023
0 days 00:18:12.356000,22.3,50.0,1001.5,False,36.5,198,4.1,British,2023
0 days 00:19:12.355000,22.3,50.0,1001.4,False,36.7,187,4.3,British,2023
0 days 00:20:12.354000,22.3,51.0,1001.4,False,38.2,187,4.3,British,2023
0 days 00:21:12.368000,22.3,52.0,1001.4,False,38.2,189,3.4,British,2023
0 days 00:22:12.367000,22.2,52.0,1001.2,False,37.7,206,3.0,British,2023
0 days 00:23:12.366000,22.2,51.0,1001.2,False,35.8,235,3.4,British,2023
0 days 00:24:12.365000,22.2,50.0,1001.2,False,34.0,231,3.0,British,2023
0 days 00:25:12.364000,22.3,49.0,1001.4,False,34.0,223,4.0,British,2023
0 days 00:26:12.410000,22.4,50.0,1001.2,False,34.0,212,4.0,British,2023
0 days 00:27:12.409000,22.4,51.0,1001.2,False,34.0,188,3.7,British,2023
0 days 00:28:12.423000,22.5,50.0,1001.0,False,32.8,218,3.0,British,2023
0 days 00:29:12.422000,22.5,49.0,1001.2,False,33.0,217,3.4,British,2023
0 days 00:30:12.437000,22.5,49.0,1001.0,False,32.8,220,4.0,British,2023
0 days 00:31:12.467000,22.4,51.0,1001.0,False,32.1,215,3.5,British,2023
0 days 00:32:12.466000,22.4,50.0,1001.2,False,30.4,231,3.2,British,2023
0 days 00:33:12.449000,22.3,50.0,1001.2,False,31.0,189,4.5,British,2023
0 days 00:34:12.464000,22.0,50.0,1001.2,False,31.0,195,3.7,British,2023
0 days 00:35:12.463000,21.9,51.0,1001.2,False,29.3,183,4.0,British,2023
0 days 00:36:12.477000,21.9,52.0,1001.2,False,29.3,199,2.9,British,2023
0 days 00:37:12.492000,21.9,52.0,1001.2,False,29.4,208,4.0,British,2023
0 days 00:38:12.491000,21.8,52.0,1001.0,False,29.6,225,4.3,British,2023
0 days 00:39:12.490000,21.9,51.0,1001.2,False,30.6,206,3.5,British,2023
0 days 00:40:12.488000,22.0,50.0,1001.2,False,31.0,190,3.5,British,2023
0 days 00:41:12.487000,22.0,51.0,1001.2,False,32.1,196,4.0,British,2023
0 days 00:42:12.502000,22.1,51.0,1001.0,False,32.1,193,4.3,British,2023
0 days 00:43:12.501000,22.2,51.0,1001.0,False,30.3,194,4.6,British,2023
0 days 00:44:12.500000,22.3,51.0,1001.2,False,29.8,192,5.5,British,2023
0 days 00:45:12.499000,22.2,51.0,1001.2,False,29.5,201,4.5,British,2023
0 days 00:46:12.498000,22.1,52.0,1001.2,False,29.6,204,3.5,British,2023
0 days 00:47:12.512000,22.0,52.0,1001.2,False,29.5,200,3.2,British,2023
0 days 00:48:12.495000,22.0,52.0,1001.2,False,29.5,203,3.0,British,2023
0 days 00:49:12.494000,22.0,51.0,1001.2,False,29.8,194,4.5,British,2023
0 days 00:50:12.493000,21.9,52.0,1001.2,False,29.2,212,3.7,British,2023
0 days 00:51:12.508000,21.8,53.0,1001.2,False,28.5,197,5.1,British,2023
0 days 00:52:12.507000,21.8,53.0,1001.2,False,28.3,203,4.3,British,2023
0 days 00:53:12.506000,21.7,54.0,1001.2,False,28.1,208,3.5,British,2023
0 days 00:54:12.505000,21.6,54.0,1001.2,False,28.6,211,3.0,British,2023
0 days 00:55:12.504000,21.6,54.0,1001.2,False,28.5,236,3.0,British,2023
0 days 00:56:12.503000,21.6,54.0,1001.2,False,28.2,207,3.7,British,2023
0 days 00:57:12.501000,21.6,53.0,1001.2,False,28.0,181,3.7,British,2023
0 days 00:58:12.500000,21.6,54.0,1001.2,False,27.9,190,4.0,British,2023
0 days 00:59:12.499000,21.5,54.0,1001.2,False,27.9,181,3.2,British,2023
0 days 01:00:12.499000,21.5,54.0,1001.2,False,27.7,195,3.7,British,2023
0 days 01:01:12.525000,21.5,55.0,1001.2,False,27.9,193,3.4,British,2023
0 days 01:02:12.512000,21.4,54.0,1001.2,False,29.6,236,3.7,British,2023
0 days 01:03:12.511000,21.4,55.0,1001.2,False,29.6,237,3.2,British,2023
0 days 01:04:12.510000,21.4,55.0,1001.4,False,29.5,191,3.2,British,2023
0 days 01:05:12.509000,21.5,54.0,1001.2,False,29.6,196,2.7,British,2023
0 days 01:06:12.507000,21.5,54.0,1001.2,False,29.4,238,3.4,British,2023
0 days 01:07:12.506000,21.4,55.0,1001.2,False,29.4,188,3.2,British,2023
0 days 01:08:12.505000,21.4,55.0,1001.2,False,29.3,201,3.0,British,2023
0 days 01:09:12.504000,21.4,55.0,1001.2,False,29.3,221,3.4,British,2023
0 days 01:10:12.503000,21.5,55.0,1001.4,False,29.4,193,3.2,British,2023
0 days 01:11:12.502000,21.4,55.0,1001.2,False,29.5,183,3.4,British,2023
0 days 01:12:12.517000,21.4,54.0,1001.2,False,29.3,198,4.0,British,2023
0 days 01:13:12.516000,21.4,55.0,1001.2,False,29.2,190,4.0,British,2023
0 days 01:14:12.515000,21.5,55.0,1001.4,False,29.1,201,3.5,British,2023
0 days 01:15:12.513000,21.4,55.0,1001.2,False,29.1,185,3.4,British,2023
0 days 01:16:12.512000,21.3,55.0,1001.2,False,29.1,201,3.5,British,2023
0 days 01:17:12.511000,21.3,55.0,1001.2,False,29.2,202,3.7,British,2023
0 days 01:18:12.510000,21.4,55.0,1001.2,False,29.2,203,3.2,British,2023
0 days 01:19:12.509000,21.3,55.0,1001.2,False,29.1,175,3.0,British,2023
0 days 01:20:12.524000,21.3,55.0,1001.2,False,29.1,187,4.5,British,2023
0 days 01:21:12.570000,21.4,56.0,1001.2,False,28.9,189,4.3,British,2023
0 days 01:22:12.537000,21.4,57.0,1001.5,False,28.8,205,4.5,British,2023
0 days 01:23:12.521000,21.4,58.0,1001.5,False,28.7,191,3.7,British,2023
0 days 01:24:12.519000,21.1,60.0,1001.5,False,27.8,229,4.5,British,2023
0 days 01:25:12.518000,20.9,61.0,1001.5,False,27.7,255,2.5,British,2023
0 days 01:26:12.517000,20.7,63.0,1001.5,False,27.7,212,1.8,British,2023
0 days 01:27:12.532000,20.5,63.0,1001.5,False,27.8,241,1.8,British,2023
0 days 01:28:12.531000,20.1,63.0,1001.4,False,27.9,222,2.2,British,2023
0 days 01:29:12.530000,20.1,64.0,1001.2,False,28.3,223,2.0,British,2023
0 days 01:30:12.529000,20.1,64.0,1001.5,False,28.3,229,2.4,British,2023
0 days 01:31:12.528000,20.1,64.0,1001.4,False,28.9,239,3.4,British,2023
