Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,SpeedI1,SpeedI2,SpeedFL,SpeedST,ThrottleStd,LapConsistency_5
Singapore,2023,ALB,Williams,2.0,101.902,29.559,43.752,28.591,MEDIUM,2.0,285.0,263.0,244.0,286.0,42.985,
Singapore,2023,ALB,Williams,3.0,101.783,29.417,43.731,28.635,MEDIUM,3.0,296.0,273.0,242.0,280.0,42.587,
Singapore,2023,ALB,Williams,4.0,101.473,29.391,43.751,28.331,MEDIUM,4.0,303.0,268.0,243.0,293.0,42.751,0.2215
Singapore,2023,ALB,Williams,5.0,101.361,29.75,43.295,28.316,MEDIUM,5.0,289.0,266.0,239.0,288.0,42.952,0.2546
Singapore,2023,ALB,Williams,6.0,102.001,29.633,43.409,28.959,MEDIUM,6.0,295.0,268.0,239.0,285.0,43.017,0.276
Singapore,2023,ALB,Williams,7.0,103.107,30.047,44.121,28.939,MEDIUM,7.0,298.0,275.0,241.0,291.0,42.921,0.697
Singapore,2023,ALB,Williams,8.0,101.318,29.594,43.41,28.314,MEDIUM,8.0,290.0,264.0,242.0,286.0,42.921,0.7528
Singapore,2023,ALB,Williams,9.0,100.869,29.531,43.316,28.022,MEDIUM,9.0,294.0,265.0,241.0,287.0,42.82,0.8684
Singapore,2023,ALB,Williams,10.0,100.625,29.476,43.031,28.118,MEDIUM,10.0,295.0,266.0,241.0,285.0,42.821,0.9994
Singapore,2023,ALB,Williams,11.0,100.363,29.488,42.838,28.037,MEDIUM,11.0,297.0,266.0,244.0,286.0,42.836,1.0926
Singapore,2023,ALB,Williams,12.0,100.458,29.304,43.024,28.13,MEDIUM,12.0,294.0,265.0,242.0,286.0,43.286,0.3823
Singapore,2023,ALB,Williams,13.0,100.755,29.44,43.039,28.276,MEDIUM,13.0,297.0,266.0,242.0,287.0,42.701,0.2076
Singapore,2023,ALB,Williams,14.0,100.775,29.402,43.173,28.2,MEDIUM,14.0,296.0,266.0,241.0,287.0,42.943,0.1813
Singapore,2023,ALB,Williams,15.0,100.638,29.384,43.043,28.211,MEDIUM,15.0,293.0,266.0,242.0,287.0,43.044,0.1819
Singapore,2023,ALB,Williams,16.0,100.815,29.383,43.295,28.137,MEDIUM,16.0,291.0,266.0,243.0,287.0,42.978,0.1446
Singapore,2023,ALB,Williams,17.0,100.689,29.315,43.079,28.295,MEDIUM,17.0,292.0,266.0,241.0,285.0,42.93,0.0706
Singapore,2023,ALB,Williams,18.0,100.949,29.369,43.249,28.331,MEDIUM,18.0,296.0,266.0,242.0,286.0,43.17,0.1204
Singapore,2023,ALB,Williams,19.0,101.174,29.352,43.308,28.514,MEDIUM,19.0,297.0,265.0,240.0,287.0,42.585,0.2161
Singapore,2023,ALB,Williams,23.0,103.117,29.205,44.115,29.797,HARD,3.0,302.0,268.0,237.0,288.0,43.222,1.0046
Singapore,2023,ALB,Williams,24.0,103.087,30.723,43.718,28.646,HARD,4.0,299.0,267.0,243.0,283.0,43.202,1.198
Singapore,2023,ALB,Williams,25.0,100.961,29.166,43.35,28.445,HARD,5.0,309.0,278.0,246.0,286.0,43.404,1.1395
Singapore,2023,ALB,Williams,26.0,100.927,28.879,43.65,28.398,HARD,6.0,320.0,276.0,245.0,302.0,43.341,1.144
Singapore,2023,ALB,Williams,27.0,101.309,28.932,43.746,28.631,HARD,7.0,298.0,270.0,242.0,302.0,42.641,1.1254
Singapore,2023,ALB,Williams,28.0,101.442,29.346,43.636,28.46,HARD,8.0,291.0,266.0,243.0,285.0,42.946,0.8898
Singapore,2023,ALB,Williams,29.0,101.455,29.351,43.526,28.578,HARD,9.0,290.0,270.0,244.0,277.0,42.384,0.2576
Singapore,2023,ALB,Williams,30.0,100.469,29.092,43.201,28.176,HARD,10.0,302.0,277.0,245.0,288.0,43.461,0.4221
Singapore,2023,ALB,Williams,31.0,100.981,29.233,43.432,28.316,HARD,11.0,297.0,264.0,243.0,293.0,42.463,0.4166
Singapore,2023,ALB,Williams,32.0,100.542,29.09,43.25,28.202,HARD,12.0,296.0,269.0,243.0,288.0,42.956,0.4722
