Race,Season,Driver,Team,LapNumber,LapTime_s,Sector1_s,Sector2_s,Sector3_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,IsAccurate,FreshTyre,FuelLoad_kg,FuelCorrection_s,SpeedI1,SpeedI2,SpeedFL,SpeedST
Singapore,2023,VER,Red Bull Racing,1.0,109.827,,45.712,28.852,HARD,1.0,1.0,,,10.0,12,False,True,108.4,3.252,294.0,261.0,238.0,224.0
Singapore,2023,VER,Red Bull Racing,2.0,101.596,29.484,43.638,28.474,HARD,2.0,1.0,,,9.0,12,True,True,106.8,3.204,288.0,258.0,244.0,283.0
Singapore,2023,VER,Red Bull Racing,3.0,101.51,29.192,43.226,29.092,HARD,3.0,1.0,,,9.0,1,True,True,105.2,3.156,290.0,272.0,244.0,281.0
Singapore,2023,VER,Red Bull Racing,4.0,101.143,29.199,43.338,28.606,HARD,4.0,1.0,,,9.0,1,True,True,103.6,3.108,300.0,261.0,245.0,291.0
Singapore,2023,VER,Red Bull Racing,5.0,101.308,29.224,43.414,28.67,HARD,5.0,1.0,,,9.0,1,True,True,102.0,3.06,300.0,254.0,244.0,295.0
Singapore,2023,VER,Red Bull Racing,6.0,101.313,29.28,43.618,28.415,HARD,6.0,1.0,,,8.0,1,True,True,100.4,3.012,313.0,269.0,242.0,295.0
Singapore,2023,VER,Red Bull Racing,7.0,100.423,29.547,42.619,28.257,HARD,7.0,1.0,,,8.0,1,True,True,98.8,2.964,286.0,253.0,242.0,276.0
Singapore,2023,VER,Red Bull Racing,8.0,100.177,29.375,42.775,28.027,HARD,8.0,1.0,,,8.0,1,True,True,97.2,2.916,288.0,258.0,241.0,284.0
Singapore,2023,VER,Red Bull Racing,9.0,100.264,29.366,42.774,28.124,HARD,9.0,1.0,,,8.0,1,True,True,95.6,2.868,291.0,257.0,242.0,286.0
Singapore,2023,VER,Red Bull Racing,10.0,100.408,29.385,42.904,28.119,HARD,10.0,1.0,,,8.0,1,True,True,94.0,2.82,290.0,259.0,246.0,284.0
Singapore,2023,VER,Red Bull Racing,11.0,100.423,29.174,43.092,28.157,HARD,11.0,1.0,,,8.0,1,True,True,92.4,2.772,294.0,265.0,243.0,293.0
