Race,Season,Driver,Team,LapNumber,LapTime_s,Compound,TyreLife,Stint,PitInTime_s,PitOutTime_s,Position,TrackStatus,FuelLoad_kg,FuelCorrection_s,IsAccurate,DegRate_s_lap,TotalLaps,LapsRemaining,SafetyCar,RedFlag,IsPitLap
Singapore,2023,VER,Red Bull Racing,1.0,109.827,HARD,1.0,1.0,,,10.0,12,108.4,3.252,False,0.0936,62.0,61.0,0,0,0
Singapore,2023,VER,Red Bull Racing,2.0,101.596,HARD,2.0,1.0,,,9.0,12,106.8,3.204,True,0.0936,62.0,60.0,0,0,0
Singapore,2023,VER,Red Bull Racing,3.0,101.51,HARD,3.0,1.0,,,9.0,1,105.2,3.156,True,0.0936,62.0,59.0,0,0,0
Singapore,2023,VER,Red Bull Racing,4.0,101.143,HARD,4.0,1.0,,,9.0,1,103.6,3.108,True,0.0936,62.0,58.0,0,0,0
Singapore,2023,VER,Red Bull Racing,5.0,101.308,HARD,5.0,1.0,,,9.0,1,102.0,3.06,True,0.0936,62.0,57.0,0,0,0
Singapore,2023,VER,Red Bull Racing,6.0,101.313,HARD,6.0,1.0,,,8.0,1,100.4,3.012,True,0.0936,62.0,56.0,0,0,0
Singapore,2023,VER,Red Bull Racing,7.0,100.423,HARD,7.0,1.0,,,8.0,1,98.8,2.964,True,0.0936,62.0,55.0,0,0,0
Singapore,2023,VER,Red Bull Racing,8.0,100.177,HARD,8.0,1.0,,,8.0,1,97.2,2.916,True,0.0936,62.0,54.0,0,0,0
Singapore,2023,VER,Red Bull Racing,9.0,100.264,HARD,9.0,1.0,,,8.0,1,95.6,2.868,True,0.0936,62.0,53.0,0,0,0
Singapore,2023,VER,Red Bull Racing,10.0,100.408,HARD,10.0,1.0,,,8.0,1,94.0,2.82,True,0.0936,62.0,52.0,0,0,0
Singapore,2023,VER,Red Bull Racing,11.0,100.423,HARD,11.0,1.0,,,8.0,1,92.4,2.772,True,0.0936,62.0,51.0,0,0,0
Singapore,2023,VER,Red Bull Racing,12.0,100.602,HARD,12.0,1.0,,,8.0,1,90.8,2.724,True,0.0936,62.0,50.0,0,0,0
Singapore,2023,VER,Red Bull Racing,13.0,100.693,HARD,13.0,1.0,,,8.0,1,89.2,2.676,True,0.0936,62.0,49.0,0,0,0
Singapore,2023,VER,Red Bull Racing,14.0,100.633,HARD,14.0,1.0,,,8.0,1,87.6,2.628,True,0.0936,62.0,48.0,0,0,0
Singapore,2023,VER,Red Bull Racing,15.0,100.206,HARD,15.0,1.0,,,8.0,1,86.0,2.58,True,0.0936,62.0,47.0,0,0,0
Singapore,2023,VER,Red Bull Racing,16.0,100.39,HARD,16.0,1.0,,,8.0,1,84.4,2.532,True,0.0936,62.0,46.0,0,0,0
Singapore,2023,VER,Red Bull Racing,17.0,100.481,HARD,17.0,1.0,,,8.0,1,82.8,2.484,True,0.0936,62.0,45.0,0,0,0
Singapore,2023,VER,Red Bull Racing,18.0,100.464,HARD,18.0,1.0,,,8.0,1,81.2,2.436,True,0.0936,62.0,44.0,0,0,0
Singapore,2023,VER,Red Bull Racing,19.0,100.746,HARD,19.0,1.0,,,8.0,12,79.6,2.388,True,0.0936,62.0,43.0,0,0,0
Singapore,2023,VER,Red Bull Racing,20.0,118.294,HARD,20.0,1.0,,,6.0,14,78.0,2.34,False,0.0936,62.0,42.0,0,0,0
Singapore,2023,VER,Red Bull Racing,21.0,,HARD,21.0,1.0,,,2.0,4,76.4,2.292,False,0.0936,62.0,41.0,1,0,0
Singapore,2023,VER,Red Bull Racing,22.0,149.966,HARD,22.0,1.0,,,2.0,41,74.8,2.244,False,0.0936,62.0,40.0,0,0,0
Singapore,2023,VER,Red Bull Racing,23.0,103.346,HARD,23.0,1.0,,,3.0,1,73.2,2.196,True,0.0936,62.0,39.0,0,0,0
Singapore,2023,VER,Red Bull Racing,24.0,101.971,HARD,24.0,1.0,,,4.0,1,71.6,2.148,True,0.0936,62.0,38.0,0,0,0
