Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed,Race,Season
0 days 00:00:23.518000,30.0,68.0,1007.9,False,38.3,106,0.8,Singapore,2023
0 days 00:01:23.533000,30.1,68.0,1007.9,False,38.5,168,1.2,Singapore,2023
0 days 00:02:23.532000,30.0,68.0,1008.0,False,38.6,198,1.2,Singapore,2023
0 days 00:03:23.531000,30.0,68.0,1008.0,False,38.6,162,1.6,Singapore,2023
0 days 00:04:23.531000,30.0,68.0,1007.9,False,38.4,175,0.8,Singapore,2023
0 days 00:05:23.546000,30.0,69.0,1008.0,False,38.1,203,1.1,Singapore,2023
0 days 00:06:23.545000,30.0,69.0,1008.0,False,38.3,194,1.2,Singapore,2023
0 days 00:07:23.544000,30.0,68.0,1008.0,False,38.1,161,1.1,Singapore,2023
0 days 00:08:23.544000,30.0,67.0,1008.0,False,38.6,164,1.1,Singapore,2023
0 days 00:09:23.543000,30.0,68.0,1008.0,False,38.2,181,1.2,Singapore,2023
0 days 00:10:23.542000,30.0,68.0,1008.0,False,38.1,166,0.8,Singapore,2023
0 days 00:11:23.542000,30.0,67.0,1008.0,False,38.2,152,1.2,Singapore,2023
0 days 00:12:23.541000,30.0,67.0,1008.0,False,38.1,179,1.1,Singapore,2023
0 days 00:13:23.540000,30.1,67.0,1008.0,False,38.1,145,1.2,Singapore,2023
0 days 00:14:23.540000,30.1,68.0,1008.0,False,38.0,0,1.2,Singapore,2023
0 days 00:15:23.539000,30.2,67.0,1008.0,False,38.0,186,1.0,Singapore,2023
0 days 00:16:23.538000,30.2,67.0,1008.0,False,37.7,188,1.2,Singapore,2023
0 days 00:17:23.553000,30.2,67.0,1008.0,False,37.7,164,1.1,Singapore,2023
0 days 00:18:23.568000,30.2,67.0,1008.0,False,38.3,182,1.3,Singapore,2023
0 days 00:19:23.583000,30.2,67.0,1008.0,False,37.9,186,1.2,Singapore,2023
0 days 00:20:23.598000,30.1,68.0,1008.0,False,37.5,197,1.5,Singapore,2023
0 days 00:21:23.598000,30.0,69.0,1007.9,False,37.4,162,1.1,Singapore,2023
0 days 00:22:23.597000,30.0,69.0,1007.9,False,37.4,189,0.6,Singapore,2023
0 days 00:23:23.612000,30.0,70.0,1007.9,False,37.5,201,0.6,Singapore,2023
0 days 00:24:23.627000,29.9,69.0,1007.9,False,37.7,190,1.2,Singapore,2023
0 days 00:25:23.642000,29.9,69.0,1008.0,False,37.8,157,1.1,Singapore,2023
0 days 00:26:23.641000,29.9,70.0,1008.0,False,37.7,171,1.2,Singapore,2023
